ID,Text,Sub-task A,Sub-task B,monolingual,tokenized
C59.391,তাদের মাথায় উকুন আর তার মাথায় সোনা যেমন। সত্যি আমার খুব রাগ হচ্ছে😡😡😡😡🤮🤮🤮,CAG,NGEN,তাদের মাথায় উকুন তার মাথায় সোনা যেমন। সত্যি আমার খুব রাগ হচ্ছে😡😡😡😡🤮🤮🤮,"['তাদের', 'মাথায়', 'উকুন', 'তার', 'মাথায়', 'সোনা', 'যেমন।', 'সত্যি', 'আমার', 'খুব', 'রাগ', 'হচ্ছে😡😡😡😡🤮🤮🤮']"
C45.39,আমাকে একটা পাত্রী চাই 9564186788,NAG,NGEN,আমাকে একটা পাত্রী চাই ৯৫৬৪১৮৬৭৮৮,"['আমাকে', 'একটা', 'পাত্রী', 'চাই', '৯৫৬৪১৮৬৭৮৮']"
C45.300,"৮০% পতিতা নিজের ইচছায় এই কাজ করের না
মা durga 'র murti এই পতিতাদের বাড়ির মাটি দিয়ে তৈরী হয়
মেয়েদের somman করতে শেখ
🌟💗🌟💗🌟💗♥💗🌟💗🌟💗🌟",NAG,GEN,৮০% পতিতা নিজের ইচছায় কাজ করের মা দূর্গা 'র মূর্তি পতিতাদের বাড়ির মাটি দিয়ে তৈরী হয় মেয়েদের সম্মান করতে শেখ 🌟💗🌟💗🌟💗♥💗🌟💗🌟💗🌟,"['৮০%', 'পতিতা', 'নিজের', 'ইচছায়', 'কাজ', 'করের', 'মা', 'দূর্গা', ""'র"", 'মূর্তি', 'পতিতাদের', 'বাড়ির', 'মাটি', 'দিয়ে', 'তৈরী', 'হয়', 'মেয়েদের', 'সম্মান', 'করতে', 'শেখ', '🌟💗🌟💗🌟💗♥💗🌟💗🌟💗🌟']"
C46.208,r etao natural muslim ra onek besi nrisongso hoy.....salar jath posur jath,CAG,GEN,r এটাও প্রাকৃতিক muslim আউট অনেক লোহা নিরিশংসো আজ ..... নুন জ্যাথ পশুর জ্যাথ,"['r', 'এটাও', 'প্রাকৃতিক', 'muslim', 'আউট', 'অনেক', 'লোহা', 'নিরিশংসো', 'আজ', '.....', 'নুন', 'জ্যাথ', 'পশুর', 'জ্যাথ']"
C59.2186,Monta sobar boro hoy hoto ta apnar ashy,NAG,NGEN,বিভিন্ন সবার বোরো হয় হতো টা আপনার ছাই,"['বিভিন্ন', 'সবার', 'বোরো', 'হয়', 'হতো', 'টা', 'আপনার', 'ছাই']"
C59.2216,"রাণু দির মতো তোমাদের প্রধানমন্ত্রী ""নরেন্দ্র মোদী""ও তো চরম অকৃতিজ্ঞ
ও অহংকারী ব্যক্তি;যে তিনি চা এর দোকান থেকে আজ প্রধানমন্ত্রী সেইটা ভুলেই
গিয়েছেন। আর তাই তো সে মানুষকে আর মানুষ মনে করছেন না এবং পারেন না যেন গোটা
পৃথিবীটাকেই দখল করবেন তার গর্ব ও অহংকার দ্বারা ।",OAG,NGEN,"রাণু দির মতো তোমাদের প্রধানমন্ত্রী ""নরেন্দ্র মোদী""ও তো চরম অকৃতজ্ঞ ও অহংকারী ব্যক্তি;যে তিনি চা দোকান থেকে আজ প্রধানমন্ত্রী সেইটা ভুলেই গিয়েছেন। তাই তো সে মানুষকে মানুষ মনে করছেন এবং পারেন যেন গোটা পৃথিবীটাকেই দখল করবেন তার গর্ব ও অহংকার দ্বারা ।","['রাণু', 'দির', 'মতো', 'তোমাদের', 'প্রধানমন্ত্রী', '""নরেন্দ্র', 'মোদী""ও', 'তো', 'চরম', 'অকৃতজ্ঞ', 'ও', 'অহংকারী', 'ব্যক্তি;যে', 'তিনি', 'চা', 'দোকান', 'থেকে', 'আজ', 'প্রধানমন্ত্রী', 'সেইটা', 'ভুলেই', 'গিয়েছেন।', 'তাই', 'তো', 'সে', 'মানুষকে', 'মানুষ', 'মনে', 'করছেন', 'এবং', 'পারেন', 'যেন', 'গোটা', 'পৃথিবীটাকেই', 'দখল', 'করবেন', 'তার', 'গর্ব', 'ও', 'অহংকার', 'দ্বারা', '।']"
C45.561,ভাই কোন জায়গায় এটা,NAG,NGEN,ভাই কোন জায়গায় এটা,"['ভাই', 'কোন', 'জায়গায়', 'এটা']"
C59.2014,হেভি দিয়েছো বস,NAG,NGEN,হেভি দিয়েছো বস,"['হেভি', 'দিয়েছো', 'বস']"
C68.1302,halimmhd2017@[gmail.com](http://gmail.com/),NAG,NGEN,halimmhd2017 @ [gmail.com] (http://gmail.com/),"['halimmhd2017', '@', '[gmail.com]', '(http://gmail.com/)']"
C59.638,Ranu Mondal 🤧🤧🤧🤧🤧,NAG,NGEN,মন্ডল 🤧🤧🤧🤧🤧,"['মন্ডল', '🤧🤧🤧🤧🤧']"
C59.1063.1,Ami o,NAG,NGEN,আমি o,"['আমি', 'o']"
C59.588,Osadharon Dada,NAG,NGEN,অসাধারণ বুক,"['অসাধারণ', 'বুক']"
C59.506,রানুমন্ডল হা করলে মুখের ভেতরের জন্ত্র পাতি দেখে কার কেমন ফিল হয়😭,CAG,NGEN,মন্ডল হা করলে মুখের ভেতরের জন্ত্র পাতি দেখে কার কেমন ফিল হয়😭,"['মন্ডল', 'হা', 'করলে', 'মুখের', 'ভেতরের', 'জন্ত্র', 'পাতি', 'দেখে', 'কার', 'কেমন', 'ফিল', 'হয়😭']"
C59.335,Darun ❤❤,NAG,NGEN,দারুন ❤❤,"['দারুন', '❤❤']"
C59.847,Khanki Magi Ranu Mondol,NAG,GEN,খানকি মাগি মন্ডল,"['খানকি', 'মাগি', 'মন্ডল']"
C44.19,3rd class natok,NAG,NGEN,দেখান ক্লাস নাটক,"['দেখান', 'ক্লাস', 'নাটক']"
C59.1221,Didi bolar kono dorkar nai bro,NAG,NGEN,ডিআই গ্রাউন্ড বলার কোনো দরকার অনুপস্থিত bro,"['ডিআই', 'গ্রাউন্ড', 'বলার', 'কোনো', 'দরকার', 'অনুপস্থিত', 'bro']"
C45.161,Prtham mahilar number ta pawa jabe??,NAG,NGEN,প্রথম মহিলার সংখ্যা টা পাওয়া jabe??,"['প্রথম', 'মহিলার', 'সংখ্যা', 'টা', 'পাওয়া', 'jabe??']"
C59.298,tumi whatsup bola stop kro,CAG,NGEN,তুমি কি খবর bola থামো সরাইখানা,"['তুমি', 'কি', 'খবর', 'bola', 'থামো', 'সরাইখানা']"
C45.610.1,Oi tomar maa bon nai tomar mukh ta kthai dekhaile oder mukh ta dekhale,CAG,GEN,ওহে তোমার জমি আমরা হব অনুপস্থিত তোমার মুখ টা ক্যাথি দেখা oder মুখ টা দেখলে,"['ওহে', 'তোমার', 'জমি', 'আমরা', 'হব', 'অনুপস্থিত', 'তোমার', 'মুখ', 'টা', 'ক্যাথি', 'দেখা', 'oder', 'মুখ', 'টা', 'দেখলে']"
C59.740,Ar jeno take sujok na deya hai...,NAG,NGEN,যেন গ্রহণ করা সুজোক দেয়া ...,"['যেন', 'গ্রহণ', 'করা', 'সুজোক', 'দেয়া', '...']"
C68.348,Ai paglir karone ar kono protiva prakashito hobena,CAG,NGEN,ai paglir karone কোনো প্রতিভা প্রকাশিত হবেনা,"['ai', 'paglir', 'karone', 'কোনো', 'প্রতিভা', 'প্রকাশিত', 'হবেনা']"
C68.469,je jaldi upre othe se joldi niche pore.,CAG,NGEN,জলদি উপরে ওঠে আমি জানি জলদি niche pore.,"['জলদি', 'উপরে', 'ওঠে', 'আমি', 'জানি', 'জলদি', 'niche', 'pore.']"
C68.1331,"manush matroi vhul hoy.besi khushir maje arokom vhul houata duser kicu
noy.ajkal goriber kicu develop hole onnora tate aktu to jellashi hoy.apni ba
jara asob kotha bolcen ami tader actually hate kori.apni hoyto vhule gesen
vaiya karo shakhate ba arale gibot kore setao kinto ohongkerer moddhei
pore.gun na thakle kew kaoke celebrati baniye dite pare na.vogoban chaicen
bolei to ata hoyece.onek bole feleci tai r bolte chai na.poriseshe akti kothai
bolte chai je apnara keo nije theke celebrati hote paren na kanona kawke to
help kortei hoy.ok bye.",CAG,NGEN,মানুষ matroi বাহুল hoy.besi খুশির মাজে অ্যারোকম বাহুল হুআটা দুসের কিকু নয়.আজকাল goriber কিকু বিকাশ হলে onnora তাতে আইন প্রতি jellashi হয়.আপনি বা যারা asob কথা বলেন ami tader আসলে হাতে করি.আপনি hoyto তিমি gesen ভাইয়া কারো shakhate বা আড়ালে গীবত kore setao কিন্তু ওহংকারের moddhei পরে.গুন্ na thakle kew kaoke celebrati baniye dite পারে вогобан.вогобан chaicen বলেই to ata হয়েসে.অনেক bole ফেলেসি tai r bolte chai na.poriseshe akti কোথায় bolte chai je আপনারা কেও nije থেকে celebrati hote paren kanona kawke to help kortei হয়.ওকে bye.,"['মানুষ', 'matroi', 'বাহুল', 'hoy.besi', 'খুশির', 'মাজে', 'অ্যারোকম', 'বাহুল', 'হুআটা', 'দুসের', 'কিকু', 'নয়.আজকাল', 'goriber', 'কিকু', 'বিকাশ', 'হলে', 'onnora', 'তাতে', 'আইন', 'প্রতি', 'jellashi', 'হয়.আপনি', 'বা', 'যারা', 'asob', 'কথা', 'বলেন', 'ami', 'tader', 'আসলে', 'হাতে', 'করি.আপনি', 'hoyto', 'তিমি', 'gesen', 'ভাইয়া', 'কারো', 'shakhate', 'বা', 'আড়ালে', 'গীবত', 'kore', 'setao', 'কিন্তু', 'ওহংকারের', 'moddhei', 'পরে.গুন্', 'na', 'thakle', 'kew', 'kaoke', 'celebrati', 'baniye', 'dite', 'পারে', 'вогобан.вогобан', 'chaicen', 'বলেই', 'to', 'ata', 'হয়েসে.অনেক', 'bole', 'ফেলেসি', 'tai', 'r', 'bolte', 'chai', 'na.poriseshe', 'akti', 'কোথায়', 'bolte', 'chai', 'je', 'আপনারা', 'কেও', 'nije', 'থেকে', 'celebrati', 'hote', 'paren', 'kanona', 'kawke', 'to', 'help', 'kortei', 'হয়.ওকে', 'bye.']"
C59.2041,Bapok diyecho ....,NAG,NGEN,bapok diyecho ....,"['bapok', 'diyecho', '....']"
C68.899,"ভাই সব আইলা,টর্নেডো,ফণি নামের ঝড় যেমন হঠাৎ করে আসে, আবার তেমনিই হঠাৎ করে
আচমকাই চারিদিক তছনছ করে চলে যায়,রানু মণ্ডলও তেমনি এক সমাজের জঞ্জাল,তাই এই সব
জঞ্জাল প্রকৃতির নিয়মে কিছু দিন পর আপনা আপনি ধূয়ে মুছে সাফ হয়ে যাবে।আর একটা কথা
হল আমাদের দেশ ভারতবর্ষের বিভিন্ন গ্রাম ও শহরে এর চেয়ে লক্ষ,লক্ষ গুন অনেক
প্রতিভা রয়েছে।যারা আজও প্রচারের আলোয় আসতে পারেনা।তাই আমার সকলের কাছে অনুরোধ
রানু মন্ডলকে বাদ দিয়ে,সেই সব প্রতিভারা উঠে আসুক।",CAG,NGEN,"ভাই সব আইলা,টর্নেডো,ফণি নামের ঝড় যেমন হঠাৎ আসে, আবার তেমনিই হঠাৎ আচমকাই চারিদিক তছনছ চলে যায়,রানু মণ্ডলও তেমনি এক সমাজের জঞ্জাল,তাই সব জঞ্জাল প্রকৃতির নিয়মে কিছু দিন পর আপনা আপনি ধূয়ে মুছে সাফ হয়ে যাবে।আর একটা কথা হল আমাদের দেশ ভারতবর্ষের বিভিন্ন গ্রাম ও শহরে চেয়ে লক্ষ,লক্ষ গুন অনেক প্রতিভা রয়েছে।যারা আজও প্রচারের আলোয় আসতে পারেনা।তাই আমার সকলের কাছে অনুরোধ মন্ডলকে বাদ দিয়ে,সেই সব প্রতিভারা উঠে আসুক।","['ভাই', 'সব', 'আইলা,টর্নেডো,ফণি', 'নামের', 'ঝড়', 'যেমন', 'হঠাৎ', 'আসে,', 'আবার', 'তেমনিই', 'হঠাৎ', 'আচমকাই', 'চারিদিক', 'তছনছ', 'চলে', 'যায়,রানু', 'মণ্ডলও', 'তেমনি', 'এক', 'সমাজের', 'জঞ্জাল,তাই', 'সব', 'জঞ্জাল', 'প্রকৃতির', 'নিয়মে', 'কিছু', 'দিন', 'পর', 'আপনা', 'আপনি', 'ধূয়ে', 'মুছে', 'সাফ', 'হয়ে', 'যাবে।আর', 'একটা', 'কথা', 'হল', 'আমাদের', 'দেশ', 'ভারতবর্ষের', 'বিভিন্ন', 'গ্রাম', 'ও', 'শহরে', 'চেয়ে', 'লক্ষ,লক্ষ', 'গুন', 'অনেক', 'প্রতিভা', 'রয়েছে।যারা', 'আজও', 'প্রচারের', 'আলোয়', 'আসতে', 'পারেনা।তাই', 'আমার', 'সকলের', 'কাছে', 'অনুরোধ', 'মন্ডলকে', 'বাদ', 'দিয়ে,সেই', 'সব', 'প্রতিভারা', 'উঠে', 'আসুক।']"
C59.627,Vikarir baccha vikari hoy,CAG,NGEN,vikarir baccha vikari hoy,"['vikarir', 'baccha', 'vikari', 'hoy']"
C62.218,"সোনা সাদা হলেই তো মার্কেটে হিট,
খারাপ ভালো কে বিবেচনা করে? যেমন টা সানিলিওন",CAG,GEN,"সোনা সাদা হলেই তো মার্কেটে হিট, খারাপ ভালো কে বিবেচনা করে? যেমন টা সানি লিওন","['সোনা', 'সাদা', 'হলেই', 'তো', 'মার্কেটে', 'হিট,', 'খারাপ', 'ভালো', 'কে', 'বিবেচনা', 'করে?', 'যেমন', 'টা', 'সানি', 'লিওন']"
C68.767,Chup bokachoda faltu kotha bondho kar.,OAG,GEN,chup bokachoda ফালতু kotha bondho kar.,"['chup', 'bokachoda', 'ফালতু', 'kotha', 'bondho', 'kar.']"
C65.353.1,হা হা হা,NAG,NGEN,হা হা হা,"['হা', 'হা', 'হা']"
C46.265.3,Tumithickbolacho,NAG,NGEN,তুমিথিকবলাচ,['তুমিথিকবলাচ']
C44.17,"সমাজের যত নোংরা জিনিস তুলে এনে দেখানো হচ্ছে, এসব নোংরা জিনিস না দেখালেও তো চলে",NAG,NGEN,"সমাজের যত নোংরা জিনিস তুলে এনে দেখানো হচ্ছে, এসব নোংরা জিনিস দেখালেও তো চলে","['সমাজের', 'যত', 'নোংরা', 'জিনিস', 'তুলে', 'এনে', 'দেখানো', 'হচ্ছে,', 'এসব', 'নোংরা', 'জিনিস', 'দেখালেও', 'তো', 'চলে']"
C59.1739,Congratulations for 1.2 million view,NAG,NGEN,congratulations জন্য 1.2 million view,"['congratulations', 'জন্য', '1.2', 'million', 'view']"
C59.997,Oh! Dada ki dile.,NAG,NGEN,উহু! বুক dile.,"['উহু!', 'বুক', 'dile.']"
C61.479,E jekhane chilo abar sekhane chere diye ay vai bhikhari sala,OAG,GEN,আইএস যেখানে ছিল abar সেখানে chere দিয়ে ay বা ভিক্ষুক ঘর,"['আইএস', 'যেখানে', 'ছিল', 'abar', 'সেখানে', 'chere', 'দিয়ে', 'ay', 'বা', 'ভিক্ষুক', 'ঘর']"
C68.1293.4,Jannati Munjia একদম ঠিক বলেছেন,NAG,NGEN,জান্নাতি এমইউ এন বাড়িতে একদম ঠিক বলেছেন,"['জান্নাতি', 'এমইউ', 'এন', 'বাড়িতে', 'একদম', 'ঠিক', 'বলেছেন']"
C59.2217,Darur,NAG,NGEN,পথিক,['পথিক']
C67.106,tomar to aga e fatano cilo.,CAG,GEN,তোমার to কিন্তু ফ্যাটানো cilo.,"['তোমার', 'to', 'কিন্তু', 'ফ্যাটানো', 'cilo.']"
C44.45,Asob dekhio na please,NAG,NGEN,আসোব দেখিও na অনুগ্রহ,"['আসোব', 'দেখিও', 'na', 'অনুগ্রহ']"
C46.208.3,chi chi chi ato baje tumi,NAG,NGEN,চি চি চি ato বাজে তুমি,"['চি', 'চি', 'চি', 'ato', 'বাজে', 'তুমি']"
C59.1654,😂😂😂😂😂😂😂😂😂,NAG,NGEN,😂😂😂😂😂😂😂😂😂,['😂😂😂😂😂😂😂😂😂']
C59.26,Katha gulo kub sundor dada. Vigo video niye video koro dada.😎😎😎😎😎😎,NAG,NGEN,কথা গুলো kub সুন্দর বুক ভিগো video নিয়ে video koro বুক,"['কথা', 'গুলো', 'kub', 'সুন্দর', 'বুক', 'ভিগো', 'video', 'নিয়ে', 'video', 'koro', 'বুক']"
C59.2244,1M views hote Jai,NAG,NGEN,1 মি মতামত হতে যাই,"['1', 'মি', 'মতামত', 'হতে', 'যাই']"
C59.418,Bhalo thuk6ho vai,NAG,NGEN,ভালো thuk6ho বা,"['ভালো', 'thuk6ho', 'বা']"
C61.2089,মাগির শুনায় লাত্থি দে,OAG,GEN,মাগির শুনায় লাত্থি দে,"['মাগির', 'শুনায়', 'লাত্থি', 'দে']"
C68.1330,Thik kotha,NAG,NGEN,ঠিক কথা,"['ঠিক', 'কথা']"
C59.1882,Khub sundor bolecho vai...,NAG,NGEN,খুব sundor বলেছো বা ...,"['খুব', 'sundor', 'বলেছো', 'বা', '...']"
C68.277,দাদা আপনি একদম টিক বলেছেন,NAG,NGEN,দাদা আপনি একদম টিক বলেছেন,"['দাদা', 'আপনি', 'একদম', 'টিক', 'বলেছেন']"
C61.170,ও ওর পুটকি পরিষ্কার রাখতো।,CAG,GEN,ও ওর পুটকি পরিষ্কার রাখতো।,"['ও', 'ওর', 'পুটকি', 'পরিষ্কার', 'রাখতো।']"
C59.2228,vare good vaii,NAG,NGEN,পণ্য ভাল উপত্যকা,"['পণ্য', 'ভাল', 'উপত্যকা']"
C44.250,Oi kankii6alar don Kata nayoa uticit,OAG,GEN,ওহে kankii6alar ডন শব্দ আমি অসুস্থ ইউটিকা,"['ওহে', 'kankii6alar', 'ডন', 'শব্দ', 'আমি', 'অসুস্থ', 'ইউটিকা']"
C45.686.3,@Masum sk hmm giye kore o eschi first er meye take,NAG,GEN,@মাসুম স্ক হুঁ গিয়ে kore দ্য eschi প্রথম er meye গ্রহণ করা,"['@মাসুম', 'স্ক', 'হুঁ', 'গিয়ে', 'kore', 'দ্য', 'eschi', 'প্রথম', 'er', 'meye', 'গ্রহণ', 'করা']"
C68.235,Ranu ke abhar tar jaigate feledau,CAG,NGEN,ke কৃতজ্ঞতা তার জাগতে ফললেট,"['ke', 'কৃতজ্ঞতা', 'তার', 'জাগতে', 'ফললেট']"
C61.32,Kuttar baccha Ranu chhodi ke madarchod,OAG,GEN,কুত্তার বাচ্চা ranu বাম ke madarchod,"['কুত্তার', 'বাচ্চা', 'ranu', 'বাম', 'ke', 'madarchod']"
C59.860,Ranu khnke mage🤬🤬🤬,OAG,GEN,খাঁজকাটা mage🤬🤬🤬,"['খাঁজকাটা', 'mage🤬🤬🤬']"
C68.1128,dur ceter baler ranu mondol,OAG,NGEN,দূর সিটার baler মন্ডল,"['দূর', 'সিটার', 'baler', 'মন্ডল']"
C65.368.3,Khub shiggiree.,NAG,NGEN,খুব shiggiree.,"['খুব', 'shiggiree.']"
C59.2173,ranu mondall ooo tumi ki karap o ranu mondoll ki jutor malla poraooooo,CAG,NGEN,মন্ডল ওও তুমি করপ দ্য মন্ডল জুতোর জাল পোরাওও,"['মন্ডল', 'ওও', 'তুমি', 'করপ', 'দ্য', 'মন্ডল', 'জুতোর', 'জাল', 'পোরাওও']"
C59.2122,kanki magire jota maro,OAG,GEN,অবাধে বায়ু - চলাচলের ব্যবস্থা বিভ্রান্ত কাকে বাদামী,"['অবাধে', 'বায়ু', '-', 'চলাচলের', 'ব্যবস্থা', 'বিভ্রান্ত', 'কাকে', 'বাদামী']"
C67.57,ata 1 ta nosto maye,OAG,NGEN,তারা 1 টা নষ্ট মেয়ে,"['তারা', '1', 'টা', 'নষ্ট', 'মেয়ে']"
C68.1134,Ranu ekta achto pagol r se pagol er kata r ki bolbo vai,CAG,NGEN,একটা কি পাগল r আমি জানি পাগল ড r বলবো বা,"['একটা', 'কি', 'পাগল', 'r', 'আমি', 'জানি', 'পাগল', 'ড', 'r', 'বলবো', 'বা']"
C61.1891,Magi fokinni,OAG,GEN,মাগি সীল,"['মাগি', 'সীল']"
C68.595,Apnar video valo legeche. Jake jei rakam manay take sei rakam haoa uchit.,NAG,NGEN,আপনার ভিডিও ভালো লেগেছে. jake যদি রকম মানায় গ্রহণ করা সেই রকম ঠিক আছে উচিত.,"['আপনার', 'ভিডিও', 'ভালো', 'লেগেছে.', 'jake', 'যদি', 'রকম', 'মানায়', 'গ্রহণ', 'করা', 'সেই', 'রকম', 'ঠিক', 'আছে', 'উচিত.']"
C61.1644,Akta magi...,OAG,GEN,akta মাগি...,"['akta', 'মাগি...']"
C67.106.1,ty naki tomar ta fate nai..? 😜,CAG,GEN,ty নাকি তোমার টা ভাগ্য nai..? 😜,"['ty', 'নাকি', 'তোমার', 'টা', 'ভাগ্য', 'nai..?', '😜']"
C68.766,"একচুয়ালি বাংলাতে একটা কথা আছে। কথাটা হচ্ছে কুকুরের পেটে ঘি ভাত সহ্য হয় না।
ঠিক তেমনি রানু দিদি ধন্যবাদ।",CAG,NGEN,একচুয়ালি বাংলাতে একটা কথা আছে। কথাটা হচ্ছে কুকুরের পেটে ঘি ভাত সহ্য না। ঠিক তেমনি দিদি ধন্যবাদ।,"['একচুয়ালি', 'বাংলাতে', 'একটা', 'কথা', 'আছে।', 'কথাটা', 'হচ্ছে', 'কুকুরের', 'পেটে', 'ঘি', 'ভাত', 'সহ্য', 'না।', 'ঠিক', 'তেমনি', 'দিদি', 'ধন্যবাদ।']"
C45.162.1,হুম অবশ্যই,NAG,NGEN,হুম অবশ্যই,"['হুম', 'অবশ্যই']"
C46.107,Molla der ma gulo age choda dorkar....,OAG,GEN,মোল্লা কি গুলো আগে চোদা dorkar....,"['মোল্লা', 'কি', 'গুলো', 'আগে', 'চোদা', 'dorkar....']"
C59.2113,chudirvai sala tue,OAG,NGEN,অদ্ভুত আউট ঘর তোমার,"['অদ্ভুত', 'আউট', 'ঘর', 'তোমার']"
C68.45,আল্লাহ কেন যে ইউটিবে হা হা রিয়েক্ট নাই😂😂😂ভাইয়েরা লাইক দেও কমেন্টটায়,NAG,NGEN,আল্লাহ কেন যে ইউটিউব হা হা রিয়েক্ট নাই😂😂😂ভাইয়েরা লাইক দেও কমেন্টটায়,"['আল্লাহ', 'কেন', 'যে', 'ইউটিউব', 'হা', 'হা', 'রিয়েক্ট', 'নাই😂😂😂ভাইয়েরা', 'লাইক', 'দেও', 'কমেন্টটায়']"
C62.188,"অপুর সাকিবের সাথে বিয়েই শুদ্ধ হয়নি৷ তাদের সন্তান ও অবৈধ, যা এখন অপু বানালো৷",CAG,GEN,"অপুর সাকিবের সাথে বিয়ে শুদ্ধ হয়নি৷ তাদের সন্তান ও অবৈধ, যা এখন অপু বানালো৷","['অপুর', 'সাকিবের', 'সাথে', 'বিয়ে', 'শুদ্ধ', 'হয়নি৷', 'তাদের', 'সন্তান', 'ও', 'অবৈধ,', 'যা', 'এখন', 'অপু', 'বানালো৷']"
C68.231,Pagli chudi ranu,OAG,GEN,pagli নীচে বাইরে,"['pagli', 'নীচে', 'বাইরে']"
C68.696,Right mantabo,NAG,NGEN,ঠিক মন্টাবো,"['ঠিক', 'মন্টাবো']"
C65.202,মাগী,OAG,GEN,মাগী,['মাগী']
C68.497,juto na... gu makhano juto fala uchit,CAG,NGEN,জুতো অতএব মাখানো জুতো fala উচিত,"['জুতো', 'অতএব', 'মাখানো', 'জুতো', 'fala', 'উচিত']"
C45.315,কোন জায়গা এইটা ভাই,NAG,NGEN,কোন জায়গা এইটা ভাই,"['কোন', 'জায়গা', 'এইটা', 'ভাই']"
C61.2156,Gandu Mondal,OAG,GEN,গান্ডু মন্ডল,"['গান্ডু', 'মন্ডল']"
C59.2277,Or dather dikhe chaye dekho Ranu dir..bomi tho autometic ber hoye jay,OAG,NGEN,বা কন্যা দেখা হবে কিছু দেখো dir..bomi থো স্বয়ংক্রিয় বের হয়ে যায়,"['বা', 'কন্যা', 'দেখা', 'হবে', 'কিছু', 'দেখো', 'dir..bomi', 'থো', 'স্বয়ংক্রিয়', 'বের', 'হয়ে', 'যায়']"
C68.397,"আজ পর্যন্ত কোনো ভিক্ষুক স্বাবলম্বী আর কোনো ভিখারী দাতা হতে পারে নি কারণ যে হাত
শুধু নিতে জানে সেই হাত কখনো দিতে জানে না...👍
শেরে বাংলা এ.কে ফজলুল হক",CAG,NGEN,আজ পর্যন্ত কোনো ভিক্ষুক স্বাবলম্বী কোনো ভিখারী দাতা হতে পারে নি কারণ যে হাত শুধু নিতে জানে সেই হাত কখনো দিতে জানে না...👍 শেরে বাংলা এ.কে ফজলুল হক,"['আজ', 'পর্যন্ত', 'কোনো', 'ভিক্ষুক', 'স্বাবলম্বী', 'কোনো', 'ভিখারী', 'দাতা', 'হতে', 'পারে', 'নি', 'কারণ', 'যে', 'হাত', 'শুধু', 'নিতে', 'জানে', 'সেই', 'হাত', 'কখনো', 'দিতে', 'জানে', 'না...👍', 'শেরে', 'বাংলা', 'এ.কে', 'ফজলুল', 'হক']"
C44.321.1,Jio .. puro gramer galagali,CAG,NGEN,জিও .. পুরো গ্রামের গালাগালি,"['জিও', '..', 'পুরো', 'গ্রামের', 'গালাগালি']"
C65.60,আমাকে পরিমনির সাথে দিলে ভাল হত,CAG,NGEN,আমাকে পরিমনির সাথে দিলে ভাল হত,"['আমাকে', 'পরিমনির', 'সাথে', 'দিলে', 'ভাল', 'হত']"
C68.1201,"Tumi right dada kintu esab bole ki hobe jake chakor bollo sei ranudi ke niye
ekhono ghurche.",NAG,NGEN,tumi ঠিক বুক কিন্তু esab বলে হবে জেক chakor বললো সেই রানুদি নিয়ে এখনো ঘুরছে.,"['tumi', 'ঠিক', 'বুক', 'কিন্তু', 'esab', 'বলে', 'হবে', 'জেক', 'chakor', 'বললো', 'সেই', 'রানুদি', 'নিয়ে', 'এখনো', 'ঘুরছে.']"
C59.958,DADA LV U,NAG,NGEN,চেস্ট lv u,"['চেস্ট', 'lv', 'u']"
C59.1666,Hmm r8,NAG,NGEN,হুঁ r8,"['হুঁ', 'r8']"
C59.346,Dada ar nam neben na,CAG,NGEN,dada ar পুরুষ পরবর্তী na,"['dada', 'ar', 'পুরুষ', 'পরবর্তী', 'na']"
C59.446,"6i 6i 6i jar mobitti jemn se to temon e bolbe ...... Sob manus kei tar chakor
mone hoy tai jonno",CAG,NGEN,6 আই 6 আই 6 আই jar কুকুর jemn se to temon bolbe ...... সব manus kei তার chakor মনে hoy tai jonno,"['6', 'আই', '6', 'আই', '6', 'আই', 'jar', 'কুকুর', 'jemn', 'se', 'to', 'temon', 'bolbe', '......', 'সব', 'manus', 'kei', 'তার', 'chakor', 'মনে', 'hoy', 'tai', 'jonno']"
C68.190,"Meyer to kono dosh nai,mayer theke shikkha,jemon ma temon meye",CAG,NGEN,"meyer to kono dosh nai,mayer theke shikkha,jemon ma temon meye","['meyer', 'to', 'kono', 'dosh', 'nai,mayer', 'theke', 'shikkha,jemon', 'ma', 'temon', 'meye']"
C59.733,বাজে মে রানু,OAG,NGEN,বাজে মে,"['বাজে', 'মে']"
C68.313,"Ranu mandal akta sandehbesi jeyi lokta Omar sange oto kichu krlo..seyi manush
k opoman krte bibeke badhlo na",CAG,NGEN,ranu মণ্ডল akta sandehbesi jeyi lokta omar sange oto kichu krlo..seyi manush k opoman krte bibeke badhlo na,"['ranu', 'মণ্ডল', 'akta', 'sandehbesi', 'jeyi', 'lokta', 'omar', 'sange', 'oto', 'kichu', 'krlo..seyi', 'manush', 'k', 'opoman', 'krte', 'bibeke', 'badhlo', 'na']"
C59.156,Gunda der ke daka ucit,CAG,NGEN,gunda der ke daka ucit,"['gunda', 'der', 'ke', 'daka', 'ucit']"
C59.107,Vaiya apnar kotha bolar voice ta khub sundor 👌,NAG,NGEN,vaiya apnar kotha bolar voice ta khub sundor 👌,"['vaiya', 'apnar', 'kotha', 'bolar', 'voice', 'ta', 'khub', 'sundor', '👌']"
