monolingual,Sub-task B
উ ফালতু,1
পুরো বেকার ভিডিও,1
বললে বুক! আমার 6ye গেলো! দারুন...দারুন... 💖💖💖,1
চেষ্টা করুন প্রতি যত পাবলিক ব্যক্তিগত নাচা নাজি ঠিক আছে তুলে ভাষা আমি কোনো ডিনো ঠিক আছে ভালো মনে করিনি মুখ দেখেই হারামি লাগতো,1
ঠিক ... মন্ডলের এইসব আচরণ থেকে আমাদের অনেক কিছু শেখার আছে ।।।,1
রাস্তার ভিখারি এপ্রিল জিনিস kta ...,1
মন্ডল একটা স্বার্থপর,1
বা তুমি পরিসংখ্যান ✔️ বলেছো,1
মোজ্জ্জজ্জ্জ ভাগ viii,1
ভাবে সম্ভব.......,1
একদম বুক ভাই আমার প্রতি টা কথা ঠিক বলেছে,1
সম্পূর্ণ ঠিকানা দিলে ভালো হয়,1
চাউট marni,0
"@সোনালী ননদিনি 😁 😂 😃 😄 😆 😉 😗,,,, আমাকে মন্তব্য করার জন্য আপনাকে অসক্ষ ধন্যবাদ সোনালী দেবী 🙏,,,, আমি ভাবছি এক বালতি উকুন কথা থেকে জোগাড় করবো ,, ?? আমাজন এ অডের করলে কি পাওয়া যাবে,,, ??? ভাল রাত আমার বন্ধু শুভ মহালয়ার প্রীতি ও শুভেচ্ছা রইলো,, ভালো থাকবেন 🙏",1
"দাদ আমিও তোমার সাথে একমত ঠিক বলেছ, ,👌👌",1
সুপার ভিডিও বুক,1
কাঁচা কঞ্চি দ্য পেছন বলে !! হা হা হা,1
কোরোম,1
নকল হাসির পিছনে লুকিয়ে থাকা যন্ত্রণা যদি দেখতে ভাই. তাহলে তুই সমাজের নেতাদের প্রতি যুদ্ধ ঘোষণা করতি.. ভালবাসা থেকে 🇧🇩,1
মা অবশ্যই,0
র্যান্ড মাদারফাকার,0
হ্যাঁ ভাই বিকারি আমার টা কুনোদিন রাজার হয় বিকারি খুব,1
থিক বলেছন সাবাস বুক,1
দারুন বলেছেন,1
[নিস.ভী।] (http://nice.vi/)।,1
শালা মাদি মুখা,0
খুব ভালো দিয়েছো বুক,1
"বা হিন্দু আউট যাওয়া , এখন পাহারা আমাকে বলুন .এখন চিলি প্রতি ওহে মুসলমানরা der আরও ফেলতে অংশ ,আমরা অনুগ্রহ ধর্ম দিন daki na , কিন্তু তোমরা ডাকো ,আমাদের প্রাসঙ্গিকতা হলে আমরা নিজেরাই ওহে মুসলিম মদের কর দিতাম",1
কাঁচা কঞ্চি দিয়ে☺☺☺☺,1
তোর ভোদার modde সাগর প্রতিটি huুকবো,0
তোদের ঢং r vlo লাগে,1
ভাই মণ্ডল হলো অকৃতজ্ঞ এক কোথায়,1
বাহ চুদিরভাই বাহ কোন ভিডিও পেলি এসব কি ফল হবে ওরা পেটের দায়ে সব রাস্তায় নেমেছে তোমাদের মতো ভালো মানুষ এসব কাজ সমাজের উচ্চ পর্যায়ের লোকেরা এসব অগোচরে,0
ভাগ শান্তির....,0
বল বল bal বালের ranu সোমবার বল,0
bc.. ছেলে adar দেশ আমরা হব বা এমনি করা উচিত... ঘর katar বাচা😠😠😠😠😠😠 মুসলিম জাট লক্ষ্য হারামি bachaa😠😠😠😠,0
anek kom ret matro 200 taka,1
একদম ঠিক বলেছো l,1
khub bhalo bhai video বানাবার janne,1
শালা কুকুর তোকে বলতে হয়েছে নাকি তুই কেন বলছিস,1
হবে 9382955635,1
darunbos,1
😂😂😂😂😂😂😂😂🤣🤣,1
thik bolechen. peter daye to tahole sobai churu korteo suru kore debe,1
tomar barir mohilao tar modhye porche bhai. tumi jawkhon ghawre ghawre **r** bolle..tumi westbengale thakle toh tomar barir meyerao oi rank eriey jete parena. emonki tomar asli bash westbengale holeo.,0
ei video ta dekhar por k k ranu dir heaters hoye gecho akbar hat tolo???,1
নারিরা পতিতা হয় বেশী ভাগ বেকার সবামী ও মাতাল সবামীদের জন্য। পাপটা ঐ বেকার ও মাতাল সবামীর।,0
kotay ata bangladesh naki ar bangladesha kotay,1
bancod mage rano,0
বারুইপুরের কোথায়?,1
ackdom thik bole6en dada,1
juta maro,1
আমি একটা জিনিস খেয়াল করেছি আপনার যে কথার স্টাইল আপনার যে এক্টিং এটা খুব ভালো আমি আশা করি আপনি যদি কোন এক্টিং চেষ্টা করেন তাহলে আপনি খুব ভালো একটা মার্কেট পেতে পারেন,1
অপদার dhorma হয় কিন্তু হুন্ডু ধর্ম ay সব হয়,1
যাবো? kothay নামতে হবে?,1
তোমার চ্যানেল ক নতুন বুক,1
ভিকারি দের ভালো করতে নাই,1
মহিলা power মানে কি অন্য পুরুষের সাথে শোয়ার ক্ষমতা।,0
ভালো creator টিমি,1
দাদা আপনি ঠিক বলেছেন,1
দি কে ফের স্টেশনে পাঠিয়ে দিন।,1
দাদা আপনার কথা গুলো মন ছুঁয়ে গেল,1
তুমি কথা টা একদম ঠিক bolecho ভাইয়া,1
পাগল mohila মন্ডল বুড়ি কোটাকার,1
চিঠি লক্ষ ঠাকলা কর্টিস,1
তোরা চারাল চারলি থাকবি,1
এগুলো কি ধরনের নাটক। আকাশ ৮ কি এ ধরনের সম্পর্ককে প্রমট করছে। ফালতু নাটক দেখানো বন্ধ হোক। যত্তসব বিকৃত মানুষ,1
চিরতরে jhihadi মূল্য jatto আসে সব মাদারফাকার গ্লো বন্দুক শট marte হবে জানতে সামনে,0
ভিখারির মুখে এ কি শুনছি??? ভিখারিনী মন্ডল কে হাতে থালা দিয়ে স্টেসনে বসিয়ে আসা দরকার।,1
তুই নিজেও একটা ভিখারী মহিলা😡😡😡 ছোটলোক বড় হইলে এমনি হয়,1
আমি r ঠিক নিতে পারছি ওহ! আবার ... কে gan এক mas ধরে রোদ,1
নাস্তিক নাস্তিক নাস্তিক,1
"বা আমরা হব ,ছোট ভাই বা modde প্রেম 😅😅",0
এক dam ঠিক,1
বীকন অসহায় বাঘ মুসুলমান মুসুলমান কর 6 আই কেন toder হিন্দুর জাট আউট ai সব kore হিন্দু ar ke মুসলিম আমরা sobai মানুষ বা যারা কাজ করবে তাদের একটাই সস্তা ar আমি জানি টা হলো ফাঁসি .mirtu.,1
ভিকারি।,1
কোন জায়গা ভাই,1
অনেক ভাল লাগল 🇺🇸🇺🇸🇺🇸,1
চুদা চুধি,1
জগন্য,1
ঠিকানাটা বলো,1
টি ইউআই পাগলী,1
যা কায়লনে,1
ভিডিও টা দেখে মনে হইলো ফকির বাদশা অইলি ফোকির সোয়াবি thake,1
ঘর মুসলিম গুলো এসব,1
রানুদি আপনার গলা অসাধারণ কিন্তূ আপনার অহঙ্কার অনেক বেশি এতো ওড়ার দরকার নাই হ্যাঁ এটা মনে রেখো কেউ খুব দারুন বলেছেন যে উড়ছে তাকে উড়তে দাও তাকে শুধু বলে দিও পৃথিবীর টান নিচের দিকে আপনাকে একদিন নিচে নামতে হবে। ধন্যবাদ,1
chudi k bol গরিবদের apoman করতে,0
সেইসব খানকির ছেলেরা এখন কোথায়? যারা পুলিশ ফাইল এ কোন মুসলিম দের ধরষন ঘটনা দেখে বাজে বাজে কমেন্ট বলে যে মুসলিম দের চরিত্র এইরকম । এখন এখন সেই বেজন্মা জারজ সন্তান বেশ্যা মাগির ছেলেরা কোথায় কমেন্ট করবি,0
"টি ইউআই একটা মাগি ,, লবণের",0
sala ভেজা রে chunri ke বিরুদ্ধে madarchod সালি randi chhinar,0
এটা নাকি নায়ক??,1
"যে তোমাকে উঠালো মাথায়, তাকেই মারলে জুতা। অতিন্দ্র দাকে নিয়ে বাজে মন্তব্য করলেন কেন রানুদি।",1
ছিল মহিলা মা জাত. please তোমরা এনাদের দাম কোরো না... তোমাদের মুখে বাধে na??. এরা মানুষ.. দরকার হলে এনাদের স্বাভাবিক জীবন যাত্রায় ফিরিয়ে আনো... কাজ দাও. যাতে সমাজে এরা মাথা উঁচু বাঁচতে পারে...,1
ripon8 majumdar,1
tor video amar besi birikto lagche,1
"মহিলা আসামি ধরতে মহিলা পুলিশ আসে,,পুরুষ আসামি ধরতে কেন মহিলা পুলিশ আসলো, বুঝলাম",0
bal cher tui ranu magi...,0
ভাই শিয়ালদা থেকে যাওয়া যাবে কতক্ষন লাগবে যেতে কোন জায়গায় জায়গার নামটা কি বলুন প্লিজ,1
"মেয়ার ভাও meyeder patoner karon, rabindranather মূর্খভাবে ta sotti হতে dekchi. ei ranu mondoler bhaow eto beshi er aar সংসার করা হলো na, পথে chole এলো, eder dimake ভাও chara কিছু নেই. jodio ganer sujog elo, উল্টো palta কথা bole সেটা hariye ফেললো. dekbo ভাও তোদের kore pet vorai.",1
tr গ্যান শুনলে amar kan diye বীর্য পাট hoi পুনরায় bal... টেরি ব্যবস্থা teri ব্যবস্থা kan দিয়ে pore birjo jodi শুনি স্যার r গ্যান .. ai গ্যান ta উত্তম.. di গ্যান ছেড়ে akta স্যার r চ্যানেল খোলো,0
বালের বালোবাসা .... এবং নস্টামি,1
খানকির চলা তোর আমরা হব প্রতি দিন ব্যবসা কর,0
যাওয়া বলকো বা 😂😂😂😂😂,1
লেচেরি ঠিকানা টা ডিএও,1
👌👌👌👌👌👌👌👌👌👌👌,1
@হিয়াশা জামান হীর তোর মুখে ধোন আবরণ দেব ...,1
আমার একদম ঠিক বলেছেন ১০০%% বুক,1
এবং waveেউ নাই এবং পাগলামি,1
সত্যি কষ্টো পেলাম...,1
fashi হয় যেন সবগুলার,1
সিবিএম ঠিক ড্রাইভ,1
একদম ঠিক বলেছেন,1
ভালো লাগল,1
বস আপনি দুর্দান্ত এবং so হাস্যকর তাই ধন্যবাদ you খুব bhalo লাগলো কথা গুলো শুনে 👍👍👍,1
payar জুতো প্রকার তুলতে nai.,1
এক পা ডাঙ্গায় এক পা কবরে তার কথা কি রে বাবা,1
কে এনকোর গর্ত,0
মনে হচ্ছে এত্ত খিস্তি মারি...এই ranu কে..প্রাই রানুর সেটা ভেঙে দিতে ধেমনি কোথাকার আগামীকাল থেকে .মাগি 😠😠😠😠মোরু ঘর,0
তো একটা ফকির ওকে জুতার বারি সে মানুষের সাথে ভালো ব্যবহার করতে পারে সালি চাকর কাকে বলিস,1
sob কোটার ফাঁসি আসো উচিত,1
খুব ভালো কুকি বুক,1
হাহাহাহা,1
বালের কণ্ঠস্বর,1
আরে দাদা আপনি তো নাম্বারটা দিবেন সোনাগাছি দালাল নাম্বার আমি যোগাযোগ করব,1
বুক শেষ মেয়ে তার সংখ্যা টা দেওয়া যাবে plz,1
ওনার moto কান্না যাবে পৌঁছে যদি অসহায় যাবে পৌঁছানোর জন্য নিজেক বিক্রি করতে badho হচ্ছে taderk খুঁজে যাবে যাওয়ার সুজোক ওষুধ উচিত.,1
রানুর পিছনে জিন দা কে লাগিয়ে দিন,1
দারুন্ন,1
কোন,1
ঠিক বলেছো ekdom .. অহোনকর i মানুষের পৃষ্ঠপোষক মূল কারণ,1
শালা মুসলিম যেখানে সেখানে ইসবাকান্দা.বেস ধরসনে মুসলিম jarita,1
বা ho6a সেগুলো sat😜😜😜😜😜,1
amr j rnu তার উপরে blv hoi nhh j এইটা atw bhlw শুল্ক পরী .. r চিন্তা খুব খর্প,1
পরমাঠে আমার bari😁😁😁,1
বা di বা,1
plz খুব amra দ্য bhi আমরা হব niye বাশ করি.সমাজ r নংগ্রা করবেন na.amn ভিডিও বানবেন na🙏,1
কোন jayga এবং,1
@হিয়াশা জামান হীর হিন্দু আইন te asob nei....r বৈজ্ঞানিকভাবে দ্য uchitna asob,1
এরকম মেয়ে আমার পাল্লায় পড়লে গাঁড় ফাটিয়ে দিতাম,0
আমি ও চাইছিলাম এটা ধন্যাবাদ,1
are প্রতি karor barir kajar lok hoar যোগ্যতা tao অনুপস্থিত re vai,1
বোকাচোদা,0
plzz oke ni ar gaan kora ben na ..dog mothon gola sur.. valo lage na সালি gaan sounte .ranou আপনি amr বাড়ি ahi be amar joutho poris kar korbe,1
really dada ei rokom 1ta video dorkar chilo oi mohilar jonno,1
tader personal tara lead krbe eder ato matha batha kano.,1
ahankari and akitogy,1
রাইট কথা,1
darun bollen dada...akdom moner kotha...👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾,1
ranu di gud mara deye aso,0
ekta meye hisabe chokhe jol ese gelo.sotti manus k voy kore,0
soitan katoa .janoar,1
ore dekhlei mejaj kharap hoy,1
দাদা সেরা দিয়েছো,1
কল তুলছো কেন,1
tobe ha eta thik kotha meye ta eto din কোথায় chilo maa r জন্য dorod উঠলে utheche,1
jeo শিক্ষক বরখাস্ত করা ডিওচো 😎😎😎😎😎🙌🙌🙋🙋🙋,1
"তুমি আমার সঙ্গেই আসো , তাহলে দুজনে মিলে কাজটা করি , তুমি বলে দিলে শেষ , তোমাকেও প্রতিবাদ করতে হবে , একটা কমেন্ট অনেক কিছু বলা যায় , ওতে বাপের ব্যাটার পরিচয় নয় !",1
মোটা মুটি,1
মনের কথা বললে সব 💖💖,1
হবে ভিডিও বস,1
নষ্ট মহিলা তোর ছেলে যে শাকিবের এটাই সত্য,0
মন্ডল বেইমান মন্ডল বেইমান চিটিংবাজ বের দিক স্টুডিও থেকে,1
জনোরার আসওয়ওয়া পারে challa পুনরায় নামকরণ,1
গুলা na দেখান ভালো,1
বল গায়ক ...,1
পরিসংখ্যান ঠিক বলসন বুক,1
অসাধারণ 👌 পরিসংখ্যান ঠিক 👍,1
হৃদয় আছে যার সেই প্রতি ভালো বেস। প্রতিটি মানুসেরি কিনেন প্রেম আসে ;,1
ভিডিও করছিলে বুঝতে পারলে যা দিবেন তোমাকে,1
হবে বুক,1
@ এমডি সালমান ও আচ্ছা,1
চিই,1
@ সৈয়দা পায়েল একদম ঠিক,1
ফালতু চোদা মাগি,0
খুব সুন্দর বুক,1
পরিসংখ্যান ঠিক বলেছো,1
স্বাস্থ্য স্যার,1
@আশরাফুল হক্কু ভাই আপনার কোন সমস্যা,1
দুর্দান্ত ভিডিও বিষয় টা,1
বুক তুমি যেটা বলছো একদম ঠিক,1
আবার দিলাম বুক লড়াই j কথা টা বললে,1
"মূলধন হলো জোমর চাকর, পেত্নী, পিতা ধূমপায়ী, নিরক্ষর, ষোল, l ইচ্ছা l পারে নিক্ষেপ গোবর তার মুখ কারণ ওনার আমার কথা গুলো গোবোর মোটোহ",1
সূরার বাচ্চা তোর জাতি উকুন dorbe বনকড হুইসকেয়ার কোডার বল তোর মেঝে গন্ডো বনকড,1
শেষ লাইন টা দারুন..পারফিউম মেখে ভিখু করতেন অংশ mekhe😂,1
"দারুন বলেছেন ভাই, এরই ছিল প্রতি জেনেটিক্যালি চেচড়া ... অ্যাসোলে মন্ডল গাইতেই জানেনা...ওটা ইসওয়ারার ভয়েস ... মন্ডল গলা থেকে বেরোচ্ছে...কারণ আমি জানি যুদ্ধ chakor...😂😂😂👍🏻♥️",1
আআআ রি ওকে জুতো বাদামী,1
তাহলে টমি bol6o মন্তব্য আমাকে,1
এক সময় তাই ও গতরে গু মেয়ে ভিক্ষা করতেন সে সময় তিনি একজন নাফর মান,1
অরি ডেক ঘৃণা লাগে আবার নাক গান শানবো ??? কখনো na😠😠😠chhotolok একটা fokirni মহিলা,1
সুপার ভাই,1
ধন্যবাদ সাদা ভিডিও টা দেয়ার জন্য কথা গুলা কেবল বলেছেন,1
রকহোম ভিডিও আরো বানানো uchid আপনার,1
"তোমার ভিডিও গুলো খুব খুব ভালো লাগে,, ভাবে হাসিয়ে যাও সবাই কে,,,, হাসানোর মতো ভালো জিনিস কিছু নেই,,",1
@অপূর্ব পাত্র আমার প্রতি bolte পারতেন এবং খুব পরিখা ধরণের ঘটনা jeno ঘটে....প্লিজ ভাবে মুসলিমদের নিয়ে বলবেন na...oporadhir কোনো jat হয় ....তারা যুদ্ধ kotha ভুলে গিয়ে ধরণের ঘটনা ঘটে,1
বাদর adaar পরীক্ষা কখনো জানবে,1
অতীন্দ্র দেয় অনুগ্রহ r ভিডিও পোস্ট করো না.যদি তোমার শিক্ষা হয় থাকায়,1
কোন জায়গা তারা,1
বারাইপুর,1
যদি লোহা bhogoban bhogoban,1
ধন্যবাদ আপনাকে,1
gudmarani চলে ke maaaar,0
তোরা তো মা বোন বউ দিয়ে সারা দুনিয়ায় তো ব্যবসা করিস,0
পরি তুমি সেক্স মুভি করলে হলে অনেক লোক পাবে,0
ঠিকানা din plz,1
রানুর ভন্ডা‌মি ও নিচু মান‌সিকতা তু‌লে ধরার জন্য ধন্যবাদ,1
"সেলিব্রেটি হয়তো হয়ে কিন্তু আচারণগত কৌশল ভিক্ষারীই রয়ে গেছে, তো ভিক্ষারীর মন্তব্য কত ভালো হবে!? যাকে যেখানেই শোভা পায় তাকে সেখানেই রাখা উচিৎ!",1
এরা খালাতো ভাইবোন,1
@funmasti tv khankir chele tora to baba mara make chudis abar bon ke biye korir toder bal ki bojhabo😈👿,0
bass ei holo suru meyeder line mara.... youtuber cheleder dekhlei meyeder bhuri bhuri comment. boli sundori fb te reply korona keno????,0
😀😀😁😁😀😀😁,1
ata kothai go,1
জায়গা টা কোথায়,1
kothai aita video korle ...,1
aparna sen egolo niye mukh khule na,1
magi ranu nega v..... r ak jonk vickary bola,0
atindar mohan,1
গান শুনা বন্ধ দিলে ভালো হয় যে যেমন তার সাথে তেমন করতে হবে,1
baal beta oder jaigay dariye dekh kmn lage ?? peter daye বা .baler video বানানোর jnoo tumi এবং এটা কর thikna,1
"মন্তব্য parlam ekta মেয়র হিসাবে এইসব ডেকে insecure অনুভব করা এটি 6। এবং kemon prithibi , ei আপনার সাইট থেকে guloke জন্ম diya6a একজন মেয়র, মানুষ ছিল মেয়র একটু সম্মান করতে পারে প্রস্থান যেভাবে কষ্ট peya6a, ঐভাবেই ইথার sabar samna kupiya বার উচিত, যাতে কোনো আপনার সাইট থেকে এইসব করতে সাহস pay.",0
choke জাল চলে এল,1
পচা করা besi শহর বসে .চেস্ট,1
এক রায় ঠিক কুকি বুক,1
আপনারা যে যার মত খারাপ মন্তব্য করছেন কেন বুঝলাম একমাএ নিজের মায়ের পেটের ভাই বোন ছাড়া কিন্তু বিয়ে হয় তাহলে ভালবাসতে অপরাধ কোথায়,1
দাদা এটা কোথাকার জায়গা বলুন আমাকে চুঁদতে হবে,1
এমসি মিলিগ্রাম বিসি .😠😠😠😠😤😤🤮🤮🤮🤮🤮🤮🤮😐😐😐,0
ধন্যবাদ যাওয়া amra আরো কিছু at d o ক্ষয় চাই বেঈমান মন্ডলের,1
😁😁😁😁,1
দারুন he6o বুক,1
কেন এসব আজ বাজে ভিডিও বানাচ্ছেন বুক .. kono meye এসব কাজ ইচ্ছে r ora প্রতি আপনার sathe ভালো bebohari করলো. apnake dekheo to মনে holo আমার ওহে মেয়েটার কাছে আগত . mane বোসন দ্য apni i করবেন r তাদের বোডনম দ্য apni i করবেন বাহ ...,0
কানো eder pe6one lag6o,1
বাহ্ dada বাহা,1
<হটপস://ইউটু.যে/৮জলমকহ্গ্রেফ৩জি>,1
ও সারা শুয়োরের বাচ্চা খানকির বাচ্চা মাগির বাচ্চা শালা হিজরা,0
ekdom sotti,1
তিন মাস,1
ফালতু,1
ranu প্রভু মন্ডল,0
মন্ডল আমারই ভেলান মন্ডল গান,1
অগডম কেবল,1
বা বাংলাদেশ ক রানা এবং ভারত টা গায়ক,1
আরে একে আবার স্টেশনে বশায় দাও,1
আরে আমি তো জানতাম আমি কে?,1
সত্যি ভাই ভিডিও টা করা প্রচুর ঝুঁকি,1
ভাল বুক,1
মাদারফাকার মুসলিম ...... মুসলিম বা জমি বা ড্রিল ......,0
বল ছিল ঠিক আমি ডাক্তার পারে na😑,0
👍👍👍👍👍😅😅😅,1
ranu👎👎👎👎👎,1
ওহে খানকি মাগি,0
👏👏👏👏🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️,0
রাস্তার নোংরা রাস্তায় থাকা দরকা,1
খ আইমন পুনরায় নামকরণ,1
এটি গ্রহণ করা তোদের হয় আরে জায়গা কাকার meye মামার মেয়ে নিজের bon প্রতি biya korish ar তারা জঘন্য তারা সিরিয়াল,0
দাদা আপনি সঠিক কথা বলেছেন,1
এআই সারা বিকারি ছাই শুধু রে বানায়দেব,1
আরও হ্যালো হ্যালো আরও টা লিন্ডেন শেষ করবে মনে hoi,1
হা হা হা ..... মন্ডল is real ঝানু mondol....,1
"আটোডিন jini রাস্তায় bose ভিক্ষা kore jibon chalaten তার কাছ থেকে মূল্যবোধ asha to উচিত sadharon খেয়ে পরে থাকা মানুষের i হটাৎ haate পোইসা তার matha ghure jaay, to সংযুক্ত প্রতি কোন .......",1
হেভি এটি গ্রহণ করা vdo ইহা ছিল. .. ..,1
glve the অস্ত্র in the hands মেয়েরা তারপর see দ্য ফলাফল,0
মাতাল dada.....$,1
tomar kota গুলো খুব ভালো laglo 👍👍👍👍👍👍,1
কি বলো তো দাদা গাধা কি গোড়া হয় তার মানে দি গুরু হানি সিং গার হয়ে যাবে,1
fokirni mohila,1
আপনার প্রতিভাই এগিয়ে নিয়ে যাবে আপনাকে তবে সতর্ক টা হলো সরবাগ্রে,1
onake aber onar purono jaigai bosiye deoya uthit,1
"pagol naki, bekar jinis gulo khali video upload koren apnara",1
এমন হেডলাইন ছি,1
ঐ খানকি মাগী এখন কোথায় বা কোন জেলে আছে জানলে এক বার মুখে মুতে দিয়ে আসতাম,0
chi chi ranu মণ্ডল!!,1
sala jamon bhikhari ranu temni চোটলোক meye..parle কঞ্চি die petan..keu kicchu bolbe na,1
কোথায় ai ta,1
thik হ্যান্ডব্যাগ love আপনি,1
are mondol ekjon মানসিক varsammo rogi,1
ভগবানের দুনিয়ায় অকৃতজ্ঞরাই ভিখাড়ী হয়ে যায়। এটাই ভগবানের নিত্যনৈমিত্তিক কর্মপ্রক্রীয়া।,1
encounter কারা darkar,1
jato din duniyate muslim thakbe tato din duniyate asanti থাকবে,1
🤮🤮🤮🤮,1
dada আপনার sate amio একমত,1
a সালি original প্যাথলজিক্যাল,1
kutthar kotha sunle jutaite ischa হয়....হালার গ্যান ak বাড়ি সুনেচি .....,1
আহহহ্ aaaaaaaaaaa aaaaaaa aaaaa aaaaaa ...,1
মন্ডল সম্পূর্ণ কাঁচা গোবর তাজা গন্ধ বের হচ্ছে।,0
তোকে ponde খচ্চর gonza দরকার,0
পায়ের জুতো কখনো ম্যাথ তুলতে নেই. taholei বিপদ. rany মন্ডল কর্মজীবন =টো১৯ - টো১৯. থেকে বাড়বে,1
গুধের বেটা,0
দোষী কোনো জাট নেই!!,1
বা বা বাহ্ কুত্তার বাচ্চা বাহ্,0
মণ্ডল চি চি চি,1
"ঠিক বলেছেন বুক, j ওহে মহিলা সোভাগবোটি .. নাহোল ওহে যাবে যায় ওহে গলা নিয়ে 😄😁",1
সেখানে বালের কথা ইহা ছিল,1
ও মাই গট জোরে দে,1
বুক ভিডিওটা খুব খুব ভালো লেগেছে. আপনার কথা বলার ধারণ দ্য আমার খুব ভালো লেগেছে. চালিয়ে যায় বুক,1
রানুদি তো সবাইকে নিয়ে যা থা কথা বলতে শুরু করলেন তিনি রাস্তার কোনো পাগলের চেয়ে কম কিছু,1
আরো বনৌ,1
@ উইকি মোল্লা হীরা হারবার,1
অনেক দুখের ... ভ্লোবাসা কখন কার মনে আসে প্রতি জেন .. সমাজ a6e থেকে দেয়ার জন্য.... খুব কষ্ট লাগলো দেখে,1
আছোলা বাস,1
খাঙ্কী৬৬এলে..চালায় থেকে চোদা সঙ্গে,0
বুক ঠিক চাটুন।,1
রানুর মতো একটা ভিখারি যেমন পায়ের জুতো অনেক দামি হলেও তাকে কেউ মাথায় তুলে রাখে তেমন তার মতো একটা ফালতু শিল্পীকে পাপসের মতো পায়ের নিচে রাখায় উচিত।,1
ক রাহিম পরিসংখ্যান r8,1
এক বিচার ঠিক বিরক্ত কর মন্ডল,1
জাইগা টা কোথায় ভাই,1
যারা অপছন্দ করা চেন ভাবে করা চেন।,1
👍👍👍👍,1
অসাধারণ বলেছেন ... পরিসংখ্যান পাবলিক মনের কথা,1
একদম faltu😡,1
কেও অস্কার থেকে এক,1
👌👌👌👌👌 চমত্কার মৃন্ময় দেয়,1
দুষ্ট.অন্য.কে.ভিডিও.চাই,1
বা ... একদম ঠিক ... ✔ ওহে সালি রানাঘাট .. অংশ ...,1
দেখা মানুষ জানোয়ার,1
মন্ডল আমার মনে হয় আগের যাবে রেখে দেয়া যথাযথ ..... অসাধু,1
বা ডিআই গ্রাউন্ড বা,1
আমাদের গর্ব করা উচিত বাংলার মানুষ একটা দারিদ্রতা থেকে সেলিব্রিটি হয়েছে কিন্তু হাঁ কিছু ভূল মন্তব্য করেছে সে তার ভুল বুঝতে পেরে খমাও চেয়ে নিয়েছে ।,1
আপনারাও পাগলের সাথে পাগল হইছে আপনার যা বলছেন উনি কি কথার মানে গুলো বুঝে,1
কোথায় ?,1
@ অজিতাদিকারি অজিথ ভাই দ্বিতীয় কথাটার ব্যুৎপত্তিগত অর্থ কি! আপনাদের জন্য দয়া হয়।আপনাদের ক্ষমতা ওই বিছানা পর্যন্ত ই।,1
আপনাদের কি হয়েছে একজন দরিদ্র মানুষ ভাবে গান করলে কি হয় মায়ের মত মানুষটাকে অস্মান অপমান করা কা টিক সে পাগল হওক নরেদ্র মোদি রাস্তায় রাস্তায় চা ভিক্রি করত তাকে ঘৃণা কর ভাল লাগলে লাইক দেবেন,1
তাইরে ভুতের মতলাগে,1
oka আবার bikakorta pathak,1
আট দেয় osam da,1
আ টিমি r o ভিডিও বানাও,1
@eshika অভিনেতা really... akdom... কেবল .. কথা.. ti.. na.. eshika.. 👈,1
"দাদা আপনার কথা গুলো দারুন , আমি ফ্যান হয়ে গেছি আপনার",1
অপরাধী কোনো জাট dhormo হয়না tader sudhu ektai dhormo tara অপরাধী ...,1
"ভাই ভালো খুব সুন্দর details, অসাধারণ video. এইরকম আরো ভিডিও বানাও👌👌👌👌👌👍",1
sali ke jhuto khulemarte yeche kore bhaii,1
রাতারাতি আঙ্গুল ফুলে কলাগাছ হয়েছেতো তাই এ অবস্থা।।।।।,1
akkdom thik,1
dada tmr bari ফুটন্ত গু কোচবিহের a নাকি হুঁ ...,1
তাকে আমার কাছে পাঠাও আমি তাকে বুঝাব,1
"বাঁদরকে মাথায় তুল্লে যা হয় আরকি 😂😂 ওর জন্য স্টেশনই ঠিক আছে,,, ভিখারি কোথাকার। কাক ময়ুরের পেখম লাগালেই ময়ুর হয়ে যায় না,,,,,mind it.....। 😁",0
একদম ঠিক,1
khanki magi himesh tor shona chate..himesher mar hadar teri meri,0
"পাগল তো পাগল হয়, ভিখারী তো হয় 😭😭😭😭😭😭😭😭😭😭😭",1
😄😄😄🤨,1
যাই হোক করছে ওরা মানছি কিন্তু ভাবে মরে যাওয়া উচিত ছিলো বাড়িতে বলতে পারতো মা বাবা কতো কষ্ট পাচ্ছে,1
"মহিলাদের sex pura ei karone জালে, fashe",0
"ba,,, ranu di ba,😍",1
tomer সঙ্গে akmot,1
ranu mondol প্রতি juto ছুরিটি marar ক্লিপ ta প্রতি দেখানো হলো,1
এবং ঠিক বোতামহোলস একজন manush গরিব থেকে বোরো look hole বা pechone sotru লেগেই thake যেমন tumi je শীঘ্রই মন্ডলের bepae মিথ্যে kota বলছো aslo মানুষ der বোকা baniye ranu মন্ডলের opoman korcho video ta বোতামহোলস সম্পাদনা করুন করা posto bujha jacche,1
otindro vaier সম্পর্কেই এমন montobbo kora কিছুতেই meney நேய যায়না মন্ডলের nischoi thik bolechi,1
