monolingual,Sub-task B
anti feminist feminists attacked made mad,1
arujdati roy cocaine addict money buy ran outta money pity deaddiction centre,1
indeed shwetabh years bollywood industry watch biopics dosti 1964 watch times theme directed today meaningful songs,1
bollywood emotions worst what relationship chutiyapanti,1
wow good,1
ramola,1
phoenix- from now every female will lesbian every male will gay just think universe has launched system that male-female marriage will illegalized gay marriage will legalizedthis newest system our galaxy virgo supercluster collection different galaxies including milky way sexual crime like rape ivtizing will occur newest system wish all best every person planet,0
real who has self respect random women,1
suuuuuuperb guys,1
amazing,1
nice,1
"debates mike ""on"" time minute time chetan allowing madhu kishwar speak talk simultaneously viewers make talking watched minutes close there purpose watching cacophony anymore",1
video thanq team,1
thankyou,1
how dumb neha gupta arrest genuine cases,1
hahahahhaha arnab goswanmi debate hohoho what joke,1
what 377 i'm pak plzz explain,1
superb brother,1
raendie edat,0
how arundhati hereshe means leftist funded landed creat nuisance why openly moving misguide,1
making video lesson supporter,1
long listening cheering clapping things change mentality problem put jail one followers replace it's deep rooted problem,0
yes 170000 husbands succumbed domestic violence years yearly average 14166 govt society silent silently laughing men deserve treatment men's welfare ministry,1
640httpswwwyoutubecomwatchv=n_zmfqmzos0&t=6m40s suggest names remaining 20%-30%,1
outstanding,1
tolerate bastards homosexuality disease western country felt slapping still ignorant reason homosexual great works guys waiting reactions metro cities mumbai kolkata bangalore,0
just feminist not liberals,1
242 handtips is it was,1
not comparing nice peru surya illu hurt feminists showing called toxic masculinity facing problem anger management toxic masculinity since men effeminate feminists hate logic reasoning surethats stay away females remorse waiting sjws involved keyboard war replying shaming languagei retaliate,1
wow,1
funny,1
618httpswwwyoutubecomwatchv=p7ssviyhae0&t=6m18s feeling,1
finally genuine reviews absurdity current bollywood,1
taking bollywood criteria,1
blind devotee keep,1
herbert paul constitution give freedom unlimited foe treason first read constitution comment,1
meet boyfriend time boy kiss time preeti,1
arnab not even worthy called kutta its insult dog,0
always fan working hard achieve great,1
su 8,1
honest review,1
dialogue,1
throw jail,1
exactly,1
watched yesterday frankly speaking clear feminist actually strongly hate fake feminism hero heroine family marry heroine forced marry hero turns devdas finally met live happily storyline cliche outdated makers added rage kissing scenes lots alcohol stereotype ending nothing,1
awesome,1
honest,1
very nice boos,1
explanation level pro,1
nice,1
brother question why homosexual gay lesbian disabilities choice,0
being straight choice,0
only waiting,1
can pls review pakistani dramas,1
will checkout,1
crap programme why arnab control speakers give minutes mute all speaking time understands called debate anchors speciality plus annoying flashing lights banners running screen unprofessional core stopped watching minutes,1
<httpsyoutubeulujenq8jcg> hey guys video aspects month ago kindly test aspect alsoyour participation appreciable,1
"watch shahid replying typical feminazi promotion <httpsyoutubemotbydqmr0a> ""if start justifying actor play characters represent honestly acting otherwise wanting stardom acting honest letting hate important""",1
rajdeep lighter version,1
are reviewer social activist pls review keeping political social agenda,1
hero escapist faces court truth accepts deeds faces punishment moved give habits grandmother's death,1
let fools they enjoy porn veere wedding brand feminism,1
ad-homo ad-homobakchodian,1
kasturi making fool herselfroy exhibiting freedom speech lie duty free accent,1
jatin yadav stop obsessed hollywood respect great don't insert unnecessary agenda nationalism,1
hear,1
people arundhuti roy deported pacific ocean,1
thanks punishment,1
ranu fucker frod,0
bahi respect writer bewakoof chutiya story real sandeep waga reeady sir doctor show story bollywood show type bollywood,1
they gain fucking views remember naam scene criminal salman khan convince kidnapping heroine mention scene,1
felt sad hearing review wen becm father daughter wll speak means beating slapping being violent forcibly kissing consent dis reviewer mother kid suffer boy percent ppl clapped pvr wen boy slapped isn't dis influencing boys tdys generation favor boys ryt girls,1
kawaii petrichor time feminists men,1
rajdip kamal hassan try sir,1
preeti dog dialogues role preeti heroine,1
liberals retards,1
parkesh hello,1
agree told video offensive particular bollywood concept totally particular concept storyline telugu industry's arjun reddy,1
"worse video dominating young consent person ""his"" treat property slap crying father guys make mardaangi yaar open eyes grow promote destructive behavior especially huge population impressionable kids target audience purely likes",1
nicetipc,1
plz stop misinterpreting public reaction body spoke celebration ppl spoke presented ranjhna showcased passionate body spoke libarism inevitable upcoming change society other bashing frustrated accept,1
cheep women,1
sir when book coming,1
1889229032,1
iam south kabhir arjun reddy,1
positive man-hater self-evident pity men,1
review entire video arguments feminism expecting regular kind review movieand make separate videos discussion don't wrongi follower starting request make separate videos review opinions issues,1
nan,1
guess simple girls digging graves coz likes dem,0
she's greedy women,1
vere nice video sir,1
feminists​ liberals curse humanity,1
support caa appreciate arnab efforts but god's sake nupur sharma embarrassment there comment someone's accent parrot related it's basically heckling panelists bjp losing different states reasons attributed attitude buffoons win illiterate morons read caa rahul bhakts master expose caa needed,1
dog,1
feminism cancer superb,1
awesome brother,1
bhai baldeep also biggest fake person nwatch,1
parcheta anxious alien different,1
omg dislikes designer liberals feminazis,1
sanju shitty,1
debadutta khandayatray lol fed success narendra modi despite discomfort whole population kind ignorant hypocritical satisfaction comment likes nothing change cry shout yell deep inside biggest loser,1
good homosexuality legalised showcase public normal human room but act despo public odd ugly,0
arnan big fans blast bigots antinationals kasturi hindu islam mentality answers hindus sikh girls molested pakistan talk hindus pakistan kasturi durgandh,1
number 8103751745,1
inspiration point thanks,1
hasan sardar hello,1
good job,1
hahahaha,1
528 https youtube com watch v=hq3p2n5q6d8&t=5m28s,1
very nice,1
yes license cancelled years negligence,1
"one word ""tatti""",1
brother,1
right,1
standalone review,1
point guy anger issues unable move loved they separated prevailing stereotypes sandeep reddy vanga studied psychology beautifully presented story brilliant intelligent surgeon’s downfall resurgence scene doesn’t plead guilty professionalism father respected emotional brings nature kabirarjun but liberals dikhega live country student college shown expensive cars flashy dance numbers students finished fhm maxim photoshoot despise genuine story,1
nice video,1
definitely,1
there amaze boy specially coz finally accept dark secrets females liking pethetic pies shit respect female vanish common view that's,0
avengers joker amazing endgame shit,1
shame lady kick her out our country immediately,1
people easily adapt shown bollywoood start type things shown ridiculous,1
your opinion mind blowingno partiality,1
gay physically they mentally created western,0
video,1
she communist keralashe working yemen afganistan indiashe loves media appearanceshe stay hindus tolerant,1
namber call 008801850322634,1
there shades gay homosexual indictment army highly solicitous rule conduct require maintain favor nation frankly speaking person concerned dedication army control urges impugn conduct possible chances thin easy gender supposedly attracted,0
‍‍‍377‍‍‍ u‍‍‍,1
crying*,1
who called ignorant kasthuri debate total disgrace lawyer,1
reated 910 wow reated,1
jahangir bitch deserved leaving bitch alive pain loosing parents bravo,0
agree bollywood garbage piece shit,1
feminism,1
good work,1
spoke mind brave unbiased opinion bollywood t*tti masala parata idolize idiots realizing actors sheep crowd oly money fame,1
write,1
great review #prtikbrarodehttpwwwyoutubecomresultssearch_query=%23prtikbrarode pointed positive,1
ankit dass controversy needed it's story fictional simply appreciate hardwork put undergoes proper development shaped put wonderfully shahid kapoor it's journey dealing consequences lost 'promote' it's simply story fiction fiction personally sucharita's review loved sucharita's review mard dard hated review kedarnath there's difference perspective deserve controversy thrown,1
"there's reason actors called ""heroes"" idk learn terrible",1
even long sessions interesting,1
nice video men,1
arnab goswami sir bengali bengal independence struggle bengal today glorious years communists trinamools,1
what hogya bhaikowhere attentionbrother,1
well,1
hated mbbs stdthat medical stdsmy expection 100% meet heard goodi time wil,1
bed,1
lol,1
excellent,1
that ranus fault education fault,1
sir deeksha sharma filmi liberal,1
you're prefer hollywood bollywood,1
support arundati,1
please analysis section 375,1
nan,1
bravo jahangir bhaigreat joblet law police bloody feminists learn lessonsmen meni problem angerhe rightcongrats,1
good job jehangir,1
god review honest amazing,1
pratik sir awassom bluckbuster becouse liberals protest negative review,1
very nice job brother jahangeer salut,1
thank bhaiya approving post facebook mensutra make feel videos helped year,1
reading subject video,1
strong message society,1
women wife women,1
illiterate hahah supreme court approve sex marriage allowed sex privacy happily walk road partner,1
well,0
woman terror country deserve,1
good decision bipin rawat sir gay blow job male army,0
yes,1
even things illusions,1
thinks involvement sex world different,1
tnx,1
arundhati roy commie naxal favourite pakistani channels ranga billa free express opinion our bharat address rajdeep conveniently ignored why behn bloody urban naxal,1
sirur views lakshya chaudhury's views matchedawesomesiri loved review,1
review raw entertaining kash yea review ghante,1
i'm agree,1
everything muslim just gem accept,1
omg,1
curious famous watching premiered bored interval shocked agree reality feminist arguments senseless bit,1
absolutely bollywood fooled generationwe trapped realise bollywood core objectification men especially womenand chutiya launde buy tickets dreaming replicate actions society imagine happen youth turned show end ton making video appreciate efforts give sense unguided youthkeep continuing work billion crore subscription mensutrai highly recommending channel friends family youthbest luck lots,1
but 99% liberals praising only called feminists problems confuse ppl agenda,1
hope watched video,1
thankyuuu,1
not msg,1
nan,1
same,1
are great sir,1
it's idea control population people sex pleasure attached different pleasure time consciously control population don't marry enjoy matters,1
1401httpswwwyoutubecomwatchv=n_zmfqmzos0&t=14m01s ga**d marao bhosdike damn brother,0
mahbul alam thanks,1
thanks video,1
more woman arundhati convinced reincarnation ravan's sister supernkha,1
slapped woman real slapped hundreds feminists terms masculinity,0
leave wife,1
judge follow fictionalized characters,1
most honest words,1
<httpsyoutubec-lryevxeva>,1
one review joker plz,1
bhai creating real men,1
why fuck jail talking sovereignty public punishable offence law,1
2videos day holy shit,1
ranu madafukker,0
any part,1
hindi,1
joker hit,1
first rajdeep defend failed,1
omg hypocrite men supporting uncle,1
nyc,1
these liberals leftist worse transgenders till transgenders morals leftist liberals they live transgenders learn lessons,0
sir awesome everymovie sir justify part thank,1
arundhati roy opposed amercian fight osamashe threat isi payroll isis supports jihadi,1
right,1
wow describe point vedios watch critics blam great reviews,1
although studies studying domestic violence men national crime records bureau analysis suicide data year 2008 decade 1998 2008 heart rendering revelations published 24% suicides directly due domestic dispute family problems related stress year 2008 57639 married men committed suicide 24% works clo,1
noticed guys tiktok videos singhs violent insecured masculanity,0
well sir,1
falling sight basically means horny shallow person,1
awsm actingnd,1
salute mandid,1
shwetabh read comments but share view,1
david warner,1
except political biased review,1
totally agree,1
literally extended debate lot insta defending forget impactful it's alright make disturbed alcoholic abuser defend sympathize also lot inspired toxic masculinity i'm blaming boys girls constantly defended characters thess problem negatively impact minds,1
superb review #$hwetabh,1
better these people doesn't participate population count 2021 that they will themselves become non citizen,1
miw,1
why haha just grab popcorn watch enjoy fuck,1
fake feminists followers napoleon's wife suck destroy womanhood,1
rajdeep shamesuch spineless person,1
great job,1
yes sakar manvogoban,1
after long finally satisfied analysis shit all time thoughts shouting head parties radical male female feminists shit topic give clear picture impact earned respect,1
finally discussed,1
very nice boss,1
article tashkent file mulk super uri some decent,1
initially talks hindu topics what background music cinematography music,1
"brutally men leaving fend even courts anti men step motherly attitude men honorable delhi high court observing ""though men victims violence incidences ruling possibility protection parliament"" dismissing petition challenging constitutionality domestic violence act violates article constitution",1
uri nationalist,1
she's sister mamata,1
how shwetabh director bollywood,1
ani sound funny <httpsyoutubegzx1amikzbc>,1
please vaiya make video shaadi jaroor aana related parts bit unrealistic vaiya,1
avinash shukla hindu gods born 5000 years ago point arguing gods but agree hinduism lots wisdom provide give importance gods,1
loved,1
why lady free send jail popular,1
totally agree analysis,1
there option men protest law crime option left either section 498a revoked crimes continue society,1
gay proud,1
please close chapter disgusting lady,1
decent,1
bollywood lion whitish gangwar bhosdike most genuine channel youtube,0
tripura,1
"""we generation men raised women woman answer need""\- brad pitt fight club feminists dare women lifesource men disrespectful#metoohttpwwwyoutubecomresultssearch_query=%23metoo #destroymanhoodhttpwwwyoutubecomresultssearch_query=%23destroymanhood",1
salute,1
funny,1
plz review sir interstellar old boy gangs wassepur county men godfather fight club silence lambs memento django unchained slumdog millionaires inglorious basterds se7en departed revenant inception,1
wao,1
people court police station solve problem develop extreme patience else incidents common noboy bear pain false 498a 52000 men committed suicide statistics its cruel supreme court 498a legal terrorism brave guy faught terrorism,1
nan,1
bhai review 100 bahut realistic,1
its courage watching story,1
true words,1
arre 742httpswwwyoutubecomwatchv=n_zmfqmzos0&t=7m42s funniest line video truly appreciate raw analysis,1
she bager world,1
thankyou support valuable comment,1
i'm victim false 498a case great job god bless hero,1
dear sexxi botm boy give sexxi drink bed dear call 7045495339 mumb,1
bollywood basically percent set narrative nation brain,1
nich,1
what joke lady bar,1
nice dada,1
preeti relationship outrageous dominative abusive relationship,1
daisy kapoor good morning,1
kapil ignorant person,1
scorer scored interested guys sex change operation tag trans woman talk bye,0
level observation criticism 10000,1
nan,1
mentality ranga birla,1
your sir,1
"think only gays lesbians are legal now rule has been changed now male female relationship illegal now says"" planet new system has been launched""no sexual crime like rape will occur new systemevery gay every lesbian will enjoy their sex lifelike kissing",0
get,1
shame tv🤮 stop misleading innocent citizens,1
tht uncle shown 052https youtube comwatchv=zzsaudkxq1m&t=0m52s uncle pedo's fucks lil boys family,0
damn,1
iam fucker disliked,1
ladies criminal prone,1
victory sharma,1
toxic masculinity pseudo feminism garbage society killing gender,1
sir review mukkabaz,1
call boys understanding forcing partner,1
every tom dick harry world citizenship country aise banenge developed nation day course government track population any reasonable person understand arundhati total bitch she mentally unstable idiots cheering beyond disgusting,1
wow she deranged homeless person,1
talk child,1
idiots taare zameen paar these favourite,1
send arundathi pakistan,1
see rotten face arundhati roy stinking ideas spreading odour even pig beautiful aged sow,0
proud sohum shah make choices actor reminds,1
100℅right,1
it's story chutiyass friend supports worst phase even total asshole,1
arnab expose pseudos however nrc big flop show bureaucracy corrupt goof exercise support caa shelter due religious persecution back especially hindus,1
forgot god gifted,1
congratulations drink soy milk beta male libtard,1
debate citizenship waste time provoked sentiments minority community arab goswami key players views genuine giving opposition speak close channel worth watching stupid debate,1
poor choice,1
crap but shahid's acting raddi story,1
right talk,1
osam vodeo guyz,1
sucharita companion,1
copy,1
coz worst story,1
genuine person point view,1
shame arundhati roy she jail house arrest otherwise damage integrity,1
1st comment,1
feminism cancer,1
views,1
mlc,1
siru totally agreed point,1
hipocrit there difference feminism feminizi please difference talk mindset howa woman wanna men ram seeta everyone live should abusive control othi wnat -#metoohttpwwwyoutubecomresultssearch_query=%23metoo movement women victims men women culprit veera wedding vulgar absurd glorifying male patriarchy abusiveness drugs condemned anything glorifies promote vile behaviour vulgar coz worse give notion youth abusive promoting control real men wonderful abuse woman cheap publicity respect trulycoz women opportunity respect hipocrit men make fun coz competee real men,1
arundati roy calls protestors rapist,1
bhai phod hoon subeh gym phir college cardio meditation deep study,1
first person watch video skipping shit,1
agree indians copy blaming bollywood wrongmovies shows great impact society worldwhen 'the exorcist' released 1973it cultural impactthere documentary made itpeople flocked theaters watch word mouth publicity scariest timeithttptimeit banned places buses watch townthe show 'game thrones' 'breaking bad' 'dexter' lot impact peoplethey fan clubs superhero moviesa lot committing murders watching 'dexter' series'gone girl' inspired lot commit similar crimes'titanic' effect gushing 'jack rose' romancek-pop k-drama forced lot women world believe fairytale romance travelling korea find korean bfhusbandjapanese manga anime huge cultural impact worldsohttpworldsoi personally believe harsh indians loving bollywoodmost indians middle class lower middle class struggling daily lifesometimes reality harsh watch top escape realityi agree cliched romance misleading men women fall fake stories,1
cried watched,1
feminists,1
puneet beniwal,1
thankyou,1
seems illegal bangldeshi,1
kasturi backing lunatic range billa rajinikanth's super hit it's range billa misleading misguiding comment offences,1
jghk,1
that's watch bollywood,1
nation pit shit cesses pit capitol world view view people’s view stand woman western woman chance handle freedom end kind situation god largest democracy world ass bet woman don’t meaning democracy,1
you're watching completely negative negative impact giving balanced analysis,1
sir review punch,1
awsome insights brobut plz give spoiler alert,1
nice guys,1
views badhane reviews deta time links hindutva feminism,1
dear pratik review arjun reddy wife arjun reddy till date fav accordingly watched loved bit felt suchitra tyagi rajeev masand gave reviews sad part understand arjun’s reddy charecter points mentioned review totally justify charecter’s intention nicely analysed,1
sutapa mandal bangladesh ranu mandal,1
bhai part video,1
<httpsyoutubevlkh91yxuam>,1
"lost huge respect from side can't agree sorryjust person treats daughter abusive behaviour show masculinity madnessit justify someone's illogical rudeness forcefully making relationship bczz girlwoww& justify dearbcz ""kabur support boyfriend husband domestic violence infct starting support forcefully making relationship girls bcz likes herreally today reaalllly surprised thoughtsu favourite reviewerbut today lost respect meif situation real college that jail worst movieworst bollywood",1
sucharita tyagi,1
aryan dubey hii,1
video,1
nice pro,1
citizen happy putting hole putting hole just kidding judge disturb freedom born generation,0
sampa paul give imo whatsapp number chat,1
just watch hyped person absolute nonsense characters leads speak it’s shahid absolute rubbish ideas served society,1
hear guy 24×7 wow loved review,1
best reply sucharita tyagi fake feminist,1
more hears starts wonder lndiato insult was related,1
all happening parliament majority religious lines unconstitutional stopped means country secular constitution happen bring modhi amit swamy clan civil disobedience,1
osm review lots punjab,1
name ranga name billa adress nivas,1
wow nice video,1
problem woman act womenwife long serves purpose met show colours real devil,1
what abt animes watched series named deathnote lile review,1
nan,1
lallantop grow rajdeep,1
truth shall set free,1
vvvvvvvvnice,1
it’s weapon woman legally abuse woman trouble law abuse politicians desperate making woman put kind law,1
filmy deewane totally agree,1
for shake jezus rice bag converted shit hindu&$$&&#&$,1
best review everkeep,1
good job i'm with,1
ravish kumar abc journalism,1
pratik borade asked muslim,1
bhai wonder shameless every attempt failing like uri blockbuster despite rejected kesari hit superhit defaming these librandus failing miserably thank god bjp power 2nd time,1
**_damn trueevery single wordperson speaks truth instead hear_**,1
imagine fight club released what feminists reactions,1
she street dog ignore fools,1
new innovative cool,1
sir make topics suffering stuffs educate youth bollywood,1
super siryou work youth thank sir,1
guru,1
osm job,1
please review agent sai sreenivasa athreya telugu,1
lock,1
dissent decency logic lawyer shankar,1
transwoman,1
chutye sanju bare just watch leave,1
homosexuals allowed indulge theirselves sexual activities fellow soldiers agenda concentration army men deviated entirely support statements,0
modern feminism dog shit,1
vijay devarkonda give fuck,1
video damn stretched completed mins,1
mamata arundhuti born surawardi sperm dropped wombs women 16th aug-1946 kolkata sense bastards bitch-biologically father happened imagine awaiting mamaata bitch arundhati,0
nan,1
chandniee toushare aillengare kerala here brain time understand,1
realm homosexual group benefit regiment,0
pls music's,1
dad 9679897440,1
i'm big fan,1
sir arnab child died due negligence doctor rajasthan kota pls report question congress govt pls pls pls,1
why arnab holding debate it's debate rather side panel ravish kumar conduct debate,1
she luks cunning paid traitors,1
which place,1
here watch #kabirsinghhttpwwwyoutubecomresultssearch_query=%23kabirsingh cost,1
please review joker 2019,1
all facts,1
hate feminist awara called freedom,1
agree,1
nice videoi lgbt,1
law insaf,1
makes lot funnier,1
sing respect poor attitude,1
sleeping ranga billa swara baskhar fingerring watching,0
kasturi lala land jesus christ sad only god,1
irresponsible flawed filmmakinglike raju hirani ending cherrypicked,1
shahid actor,1
ignorant,1
ranu mandal hate,1
totally agreed practicality subtle things shows suffers lot things understands attitude looses license lied case shows matures starts remorse attitude kind person runs away complex situation end wanted bring excuse friend realised totally abusing parents ending parts shows relation father changed totally stalk breakup unable move understand started hating narcissistic nature starts ashamed personality attitude big positive change okay agree ends unrealistic scene ready accept baby give father spoken shows purity agree ripening relationship bollywood typical agreed harming force decisions based person fake masculine agree manipulative call abusive relationship guy cares rubs shoulder removing heavy bag 10\ equal domination rights she slaps control angry public place starts apologise sorry trait matured mentally intimate relationship 11\ agree background typical bollywood mentioned pampered blunders humble background end jail underworld biography written give colours belong family means how shades grey 12\ apparently readsaccording fact taught lot song advantage made move shows agreement its shown masculine face long confident till agreed 13\ agree enjoyed portrayed consider realistic flawed person preeti real silent manipulative 14\ regarding sex scene thats typical rape many rapist raped mentally unstabled adding physical hormones top but sorry leaves dis realises isnt normal person 15\ tharki yes sadness mixed hormones typical situation desparate but person wanted fake relationship honesty maturity wanted hurt anyones feelings hurt all sex isnt hookup culture modern metros people hookup mental desparation fun why real situation please feel free couter attack debate but till reviews flawed biased charecter big fan work narcissist sympathizer dont worry todays youth dose dumb sexual contents they gullable sex sells truth sold bollywood dint sell dumb sex atlst masterpiece acting skills maybe watch vijaya devarakonda arjun reddy takes lot effort shoes villain characters appreciate calling garbage ranvir great actor charecter lost padmavati shahid shit charecter finally totally hypocrisy,1
arundhati writs book arthur ranga billa kind bitch dog,1
wonderful,1
arjun controlled mind young age once vaishyas entered room arjun resting but quickly told lost,1
what objective lady,1
reply rajeev mansad,1
nan,1
hate ranu mandal,1
true bhaya just subscribed baah loved video,1
bro rated adults influenced unlike teenagers course coward ran problems lead perfect sanskari launda watch fun there's home message dekh bhul jao apart appreciate shahid's acting disagree point medical student studying medical graduate internship 1st half later admission college studying preeti surprises rest points great perspective admire,1
coyle rite nice,1
hero,1
she joker ranu mandal,1
hello sir year student mass communication journalism verry inspire salutes work bringing real truth sir made documentary lgbtq community watch documentary leave comments improve made documentary tight budget 1000 full effort <httpsyoutubee2x-kt2f2mo> link documentary plz sir watch comment thankful,1
there military rulewell delhiup police shoot bastard antinational urban naxals studentsmedia ndtvthe wire congress china pakistaninnocent killed bcoz bastard ndtvthe wirescroll,0
639httpswwwyoutubecomwatchv=n_zmfqmzos0&t=6m39s real summary video,1
#taaaliiiihttpwwwyoutubecomresultssearch_query=%23taaaliiii #saaririkhttpwwwyoutubecomresultssearch_query=%23saaririk #sambandhhhhttpwwwyoutubecomresultssearch_query=%23sambandhhh,1
every arunthathi roy money pak army destabilise here,1
kgf analysis plz,1
"understand ""kabir singh"" also lack basic knowledge review powerful faults raw also points raised valid bullshit indians watch stories especially stories watch real stories stick news channelsngcdiscovery documentaries offbeat manic story cudn't understand watch answers questions",1
nan,1
those producers directors,1
shwetabh brother watched recent anime weathering released,1
definitely foreign fund idot,1
doctorget,1
exactly felt,1
budhdhi randy,0
i'm based filmmaker found review immature sowith due respect pls study filmmaking it's easy critics plsss,1
mfs saying toxic masculinity ranjhanaa released sonam slapped dhanush unnecessarily toxic femininity judaai instance sells husband money ethical coming woman,1
bollywood made great super30 chhichhore war better watch instead shitty housefull4,1
knew top issue selective outrage feminist brigade they critise potray male lead characters dominant vile but time encourage toxic female behaviours who treats male counterparts crap shit defend there,1
crave intellectual conversations god bless sir,1
xxx,1
🤝review nyc,1
absolutely brother she singer absolutely beggar,1
superb bro,1
fabulous,1
alijah hussain mirza,1
bullshit advertisement tinder filter copy patakha making insecure time date,1
sahil,1
tulasi dass please enlighten constitution talking not whatsapp forwards lies entire nation joke when makes sarcastic joke imprison will wait version constitution,1
kind mvie dnt knw loving considering 'real lover'though harsh unrealmentally sick totally overrated mvie,1
very excellenti,1
liku,1
alijah hussain mirza plz reply,1
day book air ticket hyderabad found pic friend called friend fukcs daily 3months incident broke,1
too,1
nupur warrior english speaking accent madam brutally assaulted live lol,0
"problem kind neglects negative aspects ultimately idolized ended tragic showed results flawed actions called ""character study"" truth absolute idiot control hand ""taxi driver"" exposes effect loneliness frustration repressed masculinity toxic outburst importantly effect actions girlfriend leaves attempt commit suicide shown story",1
very nice,1
don't talk feminists opinion feel talk opinion free opinion judge people's opinion,1
hate ranu mondal,1
deserve 10million subscribers,1
first cmnt,1
**congratulation 17k terrorist liberal feminists watched video**,1
pratik borade atleast give genuine reference certified video conservative means embrace culture nation flaws not political propaganda perfectionism universe perfect,1
after found arjun reddy realistic,1
she cowdog,1
"why video trending video ""not review is"" thankgod spoke",1
awesome review sir,1
guy husband material guys,1
budha verma that makes sense since magnet crooks easier catch,1
batla house,1
"hominem latin ""to person""1 short argumentum hominem typically refers fallacious argumentative strategy genuine discussion topic hand avoided instead attacking motive attribute person making argument",1
good,1
saumya srivastava misunderstood comment give feminism supporting idea male dominant ideas promoted disclaimer,1
happened misused law,1
absolutely brother agree support,1
proud,1
bollywood it’s remake south it’s common south woman can’t speak guys rule it’s showing reality south,1
nis video,1
dear sir wish understand issues channel simultaneous high-pitched voicing cross comments makes difficult viewers follow threads arguments please ensure talk time looks opinions broadcasted irrespective relevance produces debates poor laughable standards end day,1
arundhati roy sex crazed woman despo,0
very nice police didi,1
loud-mouth-kutta,1
big fan thanks videos,1
ranu aunty,1
ranga billadid rape arundhati roy request enjoy illicit sex,0
it's take entertainment material don't make publicity stunt,1
beautiful step control country population every choose,1
she arrested immediately payal rohtagi arrested stating facts arundhati bitch big chinaal provoking abusing leader she challenging,0
first video made fun criticized verdict good work,1
section 377 rules guys,1
dadawhy give shit crap humans,1
oddnari channel #hutiyahttpwwwyoutubecomresultssearch_query=%23hutiya,1
she jailed,1
suddenly remember watch debates anymore minutes bestowed headache irritation don't naming oneself kung kutha hear lot barking lot reasoning why dear fellow indians figure debate peaceful manner fact suspiciously feels intentional throw reason ruckus watched debate bill nye ken ham evolution creation peaceful debate i've watched sensitive topic dear fellow indians supposedly immense spiritual resources shameful,1
hate watch,1
mutual feelings,1
greatest review ever youtuber,1
hate ranu,1
100 power destroy feminists,1
how did not realize that preeti was over months pregnant lying about child they had sex before she got married its been over months since she married she still pregnant makes sense,1
nan,1
absolutely correct,1
arjun reddy shing based earning hit negative minded giving fake negative reviewsask tere naam salman khan kind story line,1
shut bloody paid channel,1
next role preeti pratik,1
permission consented sex homosexual,1
sentence tshirt nailed,1
nice shirt sri,1
these hailed social security number system efficient system deporting illegal immigrants revolutionary hypocrites,1
041httpswwwyoutubecomwatchv=j2j5sssp5yq&t=0m41s herw,1
today watched fantastic excited watch review,1
sampa paul hii,1
bangladesh guys brother first yours video i saw for first time fan become went,1
feminist cancer,0
bro review gta characters great story great especially trevor phillips,1
arnab heaven sake call person tnactress acting,1
ranu mondal,1
there problem feminists started 1st kiss,1
your are great sir,1
nobody gave shit alia's violent behavior gully boy but kabir's behavior marked possessive #feministhttpwwwyoutubecomresultssearch_query=%23feminist didis bhaiyas,1
well happily married lived consensual sex bothered she knew bodily changes semen enter agreed responsibility,1
played pubg,1
agree sir icc match win afghanistan play awesome today maza geya,1
display feelings words watching video how happy watching video,1
women rights kattar muslims zahil bhakt thora modern bano,1
but honest girls kind individuals,1
art knowing ignore purequotes4u,1
bhaiya nailed,1
why debating topic why debating economy icu unemployment understand ppl participate kind debate,1
replies,1
problem government arundhathi roy capil problem explain nrc cab,1
true bruh watch tamil show society problems bollywood,1
t-shirt,1
respect support lgbt community bonding commitment loves force rape,1
<httpsyoutubeaqhna8qjtly>,1
speak,1
thicc palm d'or winner lost weekend showed gle side alcholism master singular themes destruction both made world greatest director billy wilder paul thomas anderson,1
people illeterate they mental physical abuse violenece women,1
who hooting sick ugly woman,0
respect,1
porimoni favorite,1
job good done,1
salute,1
wow nice,1
<httpsyoutubed2t9ncp-uek> hello everyone🤗🤗🤗finally full song channel plz share don’t forget like put social media platforms thank support thank,1
salute daring opinion,1
youtube views 332 likes,1
arundhati roy supporter bjp rajdeep,1
sonal sony hyyyyyyy,1
dost,1
<httpsyoutubeojpyhghdvtk> please watch lakshya chaudhary video,1
bhai joker review,1
audience receptive organic unique contents films bollywoodthat era mainstreamism projects bhavesh joshimard dard including anurag kashyap films deserved recognition,1
correct thanks spreading truth,1
even 150 crores tough,1
ranu mandal harami singer,0
arnab truth,1
finally about fucking time,1
waw acting amazing,1
very explained brother hatts,1
sucharita not reviewyou tube channel viewers watch video,1
she booked immediately law action immediately put jail,1
surprised prateek protagonist respect women thinks birth choose college meekly surrender case smacks misogyny it's liberals intellectual but trailer puts watch happily miss watching behave behave owns woman,1
sir incrediblei revolutionist your work unmatched,1
homosexuals allowed army damage decorum army,0
put arundhati bars bann,1
explained review really loved,1
osm,1
she deported back adopted homeland pakistan,1
years loot sems country unforgivable specifically modi arundhati roy makes activist shame shame,1
kick pak,1
critical focus details,1
sir review jersey,1
she awaken society late constitution strangulated manuvadis,1
nicevdoe,1
awesome,1
awesomeshwetabh genuine review generation,1
superbb,1
sir uri surgical strike,1
lesbian heart born lesbian who'll interested,0
peaks hypocrisy why🤔,1
first understand 377 377 act illegalize sex 377 decriminalize lgbt sex criminal boy boy live,1
momota didi,1
piles,1
watch yet interested,1
honestly speaking japanese anime motivating lessons garbage bollywood,1
brother sisters home lesbian lesbianisim respect woman human,1
proud being muslim pakistaniindian human mindlol pakistan zindabad,1
bhai beast mode,1
