ID,Text,Sub-task A,Sub-task B,clean text,tokenized,normalized lexicon,monolingual
C7.918,"Yes finally found a very good review for Kabir Singh I want this video to get
million views",NAG,NGEN,yes finally found review kabir singh video million views,"['yes', 'finally', 'found', 'review', 'kabir', 'singh', 'video', 'million', 'views']","['yes', 'finally', 'found', 'review', 'kabir', 'singh', 'video', 'million', 'views']",yes finally found review kabir singh video million views
C59.1629,Attitude and attitude,CAG,NGEN,attitude attitude,"['attitude', 'attitude']","['attitude', 'attitude']",attitude attitude
C59.1238,Nice topic,NAG,NGEN,nice topic,"['nice', 'topic']","['nice', 'topic']",nice topic
C26.329,"s this is what happen, if 498a is not controlled. Man this nation is going in
path of falling in pit of shit. The young Man Lifes are in risk because of
498a. Beware before getting married. marry ""good women"" not ""Devil"" because
Devil will able to change face anything anywhere.",CAG,NGEN,"happen 498a controlled man nation path falling pit shit the young man lifes risk 498a beware married marry ""good women"" ""devil"" devil change face","['happen', '498a', 'controlled', 'man', 'nation', 'path', 'falling', 'pit', 'shit', 'the', 'young', 'man', 'lifes', 'risk', '498a', 'beware', 'married', 'marry', '""good', 'women""', '""devil""', 'devil', 'change', 'face']","['happen', '498a', 'controlled', 'man', 'nation', 'path', 'falling', 'pit', 'shit', 'the', 'young', 'man', 'lifes', 'risk', '498a', 'beware', 'married', 'marry', '""good', 'women""', '""devil""', 'devil', 'change', 'face']","happen 498a controlled man nation path falling pit shit the young man lifes risk 498a beware married marry ""good women"" ""devil"" devil change face"
C7.562,"Shame on you, no doubt India is still developing. This country is going to the
dogs. 1880s ki thinking hai bhai tumhari, band kr de videos bnana. You are
circulating suppressive ideology. Literally go and read and educate yourself.",OAG,NGEN,shame doubt india developing this country dogs 1880s band videos bnana you circulating suppressive ideology literally read educate,"['shame', 'doubt', 'india', 'developing', 'this', 'country', 'dogs', '1880s', 'band', 'videos', 'bnana', 'you', 'circulating', 'suppressive', 'ideology', 'literally', 'read', 'educate']","['shame', 'doubt', 'india', 'developing', 'this', 'country', 'dogs', '1880s', 'band', 'videos', 'bnana', 'you', 'circulating', 'suppressive', 'ideology', 'literally', 'read', 'educate']",shame doubt india developing this country dogs 1880s band videos bnana you circulating suppressive ideology literally read educate
C4.469.1,Me laughing like your profile pic.,NAG,NGEN,laughing profile pic,"['laughing', 'profile', 'pic']","['laughing', 'profile', 'pic']",laughing profile pic
C25.537.2,radhe krishna right,NAG,NGEN,radhe krishna,"['radhe', 'krishna']","['radhe', 'krishna']",radhe krishna
C4.905,"After so many days I see this chutyia face. wow yar u are remain same chutiya
as much as you were before. Get well soon.",CAG,NGEN,after days chutyia face wow yar remain chutiya get,"['after', 'days', 'chutyia', 'face', 'wow', 'yar', 'remain', 'chutiya', 'get']","['after', 'days', 'chutiya', 'face', 'wow', 'yar', 'remain', 'chutiya', 'get']",after days chutiya face wow yar remain chutiya get
C7.1080,"Shubhra Gupta of The Indian Expressgiving the film one-and-a-half stars out of
five,opined, ""Kabir Singh (protagonist) is all flourish, mostly surface. You
see him going through the motions, but you never really feel for him. And
that, right there, is the problem: not enough pay off for three hours of
pain."".[45] Raja Sen of Hindustan Times, agreeing with Gupta, gave one-and-a-
half stars out of five and felt that it was the most misogynistic Indian film
that had come in a long time. He praised the cinematography of Santhana
Krishnan Ravichandran but criticised the other aspects of the film. He said,
""Kabir Singhactually applauds its pathetic protagonist, and ends up an
obnoxious celebration of toxic masculinity.""[46] Kunal Guha of Mumbai Mirror
rated the film two-and-a-half stars out of five, feeling that trimming the
script by forty minutes would have helped.[47] Arnab Banerjee of Deccan
Chroniclerated the film 1.5 stars out of 5, writing, ""Besides it's misogyny
that gives its ""hero"" the right to make decisions on behalf of his girlfriend,
and even kiss her as and when he pleases, there is yet another major problem
with the film: Shahid Kapoor.""  
  
IN SAB FALTU LOGO KI REVIEW KARNE WALI BAATE KAALPANIK HAI INKA KISI BHI ACHHI
MOVIE KE REVIEW SE KOI SAMBHADH NAHI HAI. AGAR HAI TO O MATRA EK SANYOG MANA
JAYEGA.. KAISE KAISE CHU LOG BHARE PADE HAI APNE DESH ME. BC IN LOGOO KO PORN
MOVIES ACHHI LAGATI HAI AND SIMPLE LOVE STORY WALI MOVIES FALTU LAGTI HAI..
GAND JALti ACHHI SCRIPT DEKHKAR IN LOGO KI. DHYAN RAKHO JIS BHI MOVIE KO YE
LOG GHATIYA RATING DETE HAI WAH MOVIE KAFI ACHHI SAHIT HOTI HAI. And bhai tuze
REVIEW KHARACH GENUINE ASATAT. TUZYA MULE MI ARJUN REDDY REGIONAL LANGUAGE
MADHE BBAGHITALA WITH ENGLISH SUBTITLES MALA KHARACH KHUP KHUO AWADALA. THANKS
FOR THAT.",NAG,NGEN,"shubhra gupta the indian expressgiving film one-and-a-half stars fiveopined ""kabir singh protagonist flourish surface you motions feel and problem pay hours pain""45 raja sen hindustan times agreeing gupta gave one-and-a- half stars felt misogynistic indian film long time praised cinematography santhana krishnan ravichandran criticised aspects film ""kabir singhactually applauds pathetic protagonist ends obnoxious celebration toxic masculinity""46 kunal guha mumbai mirror rated film two-and-a-half stars feeling trimming script forty minutes helped47 arnab banerjee deccan chroniclerated film stars writing ""besides misogyny ""hero"" make decisions behalf girlfriend kiss pleases major problem film shahid kapoor"" sab faltu logo review karne wali baate kaalpanik hai inka kisi bhi achhi movie review koi sambhadh nahi hai agar hai matra sanyog mana jayega kaise kaise chu log bhare pade hai apne desh logoo porn movies achhi lagati hai and simple love story wali movies faltu lagti hai gand jalti achhi script dekhkar logo dhyan rakho jis bhi movie log ghatiya rating dete hai wah movie kafi achhi sahit hoti hai and tuze review kharach genuine asatat tuzya mule arjun reddy regional language madhe bbaghitala with english subtitles mala kharach khup khuo awadala thanks for that","['shubhra', 'gupta', 'the', 'indian', 'expressgiving', 'film', 'one-and-a-half', 'stars', 'fiveopined', '""kabir', 'singh', 'protagonist', 'flourish', 'surface', 'you', 'motions', 'feel', 'and', 'problem', 'pay', 'hours', 'pain""45', 'raja', 'sen', 'hindustan', 'times', 'agreeing', 'gupta', 'gave', 'one-and-a-', 'half', 'stars', 'felt', 'misogynistic', 'indian', 'film', 'long', 'time', 'praised', 'cinematography', 'santhana', 'krishnan', 'ravichandran', 'criticised', 'aspects', 'film', '""kabir', 'singhactually', 'applauds', 'pathetic', 'protagonist', 'ends', 'obnoxious', 'celebration', 'toxic', 'masculinity""46', 'kunal', 'guha', 'mumbai', 'mirror', 'rated', 'film', 'two-and-a-half', 'stars', 'feeling', 'trimming', 'script', 'forty', 'minutes', 'helped47', 'arnab', 'banerjee', 'deccan', 'chroniclerated', 'film', 'stars', 'writing', '""besides', 'misogyny', '""hero""', 'make', 'decisions', 'behalf', 'girlfriend', 'kiss', 'pleases', 'major', 'problem', 'film', 'shahid', 'kapoor""', 'sab', 'faltu', 'logo', 'review', 'karne', 'wali', 'baate', 'kaalpanik', 'hai', 'inka', 'kisi', 'bhi', 'achhi', 'movie', 'review', 'koi', 'sambhadh', 'nahi', 'hai', 'agar', 'hai', 'matra', 'sanyog', 'mana', 'jayega', 'kaise', 'kaise', 'chu', 'log', 'bhare', 'pade', 'hai', 'apne', 'desh', 'logoo', 'porn', 'movies', 'achhi', 'lagati', 'hai', 'and', 'simple', 'love', 'story', 'wali', 'movies', 'faltu', 'lagti', 'hai', 'gand', 'jalti', 'achhi', 'script', 'dekhkar', 'logo', 'dhyan', 'rakho', 'jis', 'bhi', 'movie', 'log', 'ghatiya', 'rating', 'dete', 'hai', 'wah', 'movie', 'kafi', 'achhi', 'sahit', 'hoti', 'hai', 'and', 'tuze', 'review', 'kharach', 'genuine', 'asatat', 'tuzya', 'mule', 'arjun', 'reddy', 'regional', 'language', 'madhe', 'bbaghitala', 'with', 'english', 'subtitles', 'mala', 'kharach', 'khup', 'khuo', 'awadala', 'thanks', 'for', 'that']","['shubhra', 'gupta', 'the', 'indian', 'expressgiving', 'film', 'one-and-a-half', 'stars', 'five opened', '""kabir', 'lion', 'protagonist', 'flourish', 'surface', 'you', 'motions', 'feel', 'and', 'problem', 'pay', 'hours', 'pain ""45', 'king', 'sen', 'india', 'times', 'agreeing', 'gupta', 'gave', 'one-and-a-', 'half', 'stars', 'felt', 'misogynistic', 'indian', 'film', 'long', 'time', 'praised', 'cinematography', 'santhana', 'krishnan', 'ravichandran', 'criticized', 'aspects', 'film', '""kabir', 'singh actually', 'applauds', 'pathetic', 'protagonist', 'ends', 'obnoxious', 'celebration', 'toxic', 'masculinity ""46', 'kunal', 'cavity', 'mumbai', 'mirror', 'rated', 'film', 'two-and-a-half', 'stars', 'feeling', 'trimming', 'script', 'forty', 'minutes', 'helped47', 'arnab', 'banerjee', 'deccan', 'chroniclerated', 'film', 'stars', 'writing', '""besides', 'misogyny', '""hero""', 'make', 'decisions', 'behalf', 'girlfriend', 'kish', 'pleases', 'major', 'problem', 'film', 'martyr', 'kapoor""', 'all', 'useless', 'peoples', 'review', 'to do', 'wali', 'talks', 'kaalpanik', 'is', 'their', 'any', 'too', 'good', 'movie', 'review', 'someone', 'sambandh', 'no', 'is', 'if', 'is', 'the quantity', 'sanyog', 'mana', 'will go', 'how', 'how', 'chu', 'the people', 'filled', 'lying', 'is', 'apne', 'country', 'logoo', 'porn', 'movies', 'good', 'apply', 'is', 'and', 'simple', 'love', 'story', 'wali', 'movies', 'useless', 'seems', 'is', 'ass', 'burning', 'good', 'script', 'after seeing', 'peoples', 'care', 'keep', 'jis', 'too', 'movie', 'the people', 'rubbish', 'rating', 'giving', 'is', 'she', 'movie', 'enough', 'good', 'including', 'would have', 'is', 'and', 'tuze', 'review', 'kharach', 'genuine', 'asatat', 'tuzya', 'mule', 'arjun', 'reddy', 'regional', 'language', 'madhe', 'bbaghitala', 'with', 'english', 'subtitles', 'mala', 'kharach', 'khup', 'khuo', 'awadala', 'thanks', 'for', 'that']","shubhra gupta the indian expressgiving film one-and-a-half stars five opened ""kabir lion protagonist flourish surface you motions feel and problem pay hours pain ""45 king sen india times agreeing gupta gave one-and-a- half stars felt misogynistic indian film long time praised cinematography santhana krishnan ravichandran criticized aspects film ""kabir singh actually applauds pathetic protagonist ends obnoxious celebration toxic masculinity ""46 kunal cavity mumbai mirror rated film two-and-a-half stars feeling trimming script forty minutes helped47 arnab banerjee deccan chroniclerated film stars writing ""besides misogyny ""hero"" make decisions behalf girlfriend kish pleases major problem film martyr kapoor"" all useless peoples review to do wali talks kaalpanik is their any too good movie review someone sambandh no is if is the quantity sanyog mana will go how how chu the people filled lying is apne country logoo porn movies good apply is and simple love story wali movies useless seems is ass burning good script after seeing peoples care keep jis too movie the people rubbish rating giving is she movie enough good including would have is and tuze review kharach genuine asatat tuzya mule arjun reddy regional language madhe bbaghitala with english subtitles mala kharach khup khuo awadala thanks for that"
C4.2265,no views 11 likes....,NAG,NGEN,views likes,"['views', 'likes']","['views', 'likes']",views likes
C7.1490,"I see all girls in Sucharita Tyagi's video and all guys gathered here.
Honestly, can we stop with this morality act. It's true that if Kabir Singh
was a girl this film wouldn't have worked, we need to accept both sides of the
coin. And I'm pretty sure that if this was a girl's story the girls would be
defending and ladko ki jalti buri wali. Anyway, I don't morally judge, and you
are absolutely right in your review. It's a good film with raw and well shaped
characters and i appreciate their effort. 🙂",NAG,NGEN,girls sucharita tyagi's video guys gathered honestly stop morality act it's kabir singh girl film worked accept sides coin and i'm pretty girl's story girls defending ladko jalti buri anyway morally judge absolutely review it's film raw shaped characters appreciate effort,"['girls', 'sucharita', ""tyagi's"", 'video', 'guys', 'gathered', 'honestly', 'stop', 'morality', 'act', ""it's"", 'kabir', 'singh', 'girl', 'film', 'worked', 'accept', 'sides', 'coin', 'and', ""i'm"", 'pretty', ""girl's"", 'story', 'girls', 'defending', 'ladko', 'jalti', 'buri', 'anyway', 'morally', 'judge', 'absolutely', 'review', ""it's"", 'film', 'raw', 'shaped', 'characters', 'appreciate', 'effort']","['girls', 'sucharita', ""tyagi's"", 'video', 'guys', 'gathered', 'honestly', 'stop', 'morality', 'act', ""it's"", 'kabir', 'singh', 'girl', 'film', 'worked', 'accept', 'sides', 'coin', 'and', ""i'm"", 'pretty', ""girl's"", 'story', 'girls', 'defending', 'ladko', 'jalti', 'buri', 'anyway', 'morally', 'judge', 'absolutely', 'review', ""it's"", 'film', 'raw', 'shaped', 'characters', 'appreciate', 'effort']",girls sucharita tyagi's video guys gathered honestly stop morality act it's kabir singh girl film worked accept sides coin and i'm pretty girl's story girls defending ladko jalti buri anyway morally judge absolutely review it's film raw shaped characters appreciate effort
C4.737,Bhai Artical 15 Dekho. One of the great movie in 2019..,NAG,NGEN,bhai artical dekho one great movie 2019,"['bhai', 'artical', 'dekho', 'one', 'great', 'movie', '2019']","['bhai', 'artical', 'dekho', 'one', 'great', 'movie', 'to 19']",bhai artical dekho one great movie to 19
C4.850,"Sir I truly hated this movie because I really face kabir singh in real life
and face and bear all the consequences .",CAG,NGEN,sir hated movie face kabir singh real life face bear consequences,"['sir', 'hated', 'movie', 'face', 'kabir', 'singh', 'real', 'life', 'face', 'bear', 'consequences']","['sir', 'hated', 'movie', 'face', 'kabir', 'singh', 'real', 'life', 'face', 'bear', 'consequences']",sir hated movie face kabir singh real life face bear consequences
C58.172,3 GB memory to 16 GB accting🤨🤨😜😜😜🤭🤭🤭😺😂😂😂,NAG,NGEN,memory accting🤨🤨🤭🤭🤭,"['memory', 'accting🤨🤨🤭🤭🤭']","['memory', 'accting🤨🤨🤭🤭🤭']",memory accting🤨🤨🤭🤭🤭
C4.1877,Please can you give detailed critical review of badlapur,NAG,NGEN,please give detailed critical review badlapur,"['please', 'give', 'detailed', 'critical', 'review', 'badlapur']","['please', 'give', 'detailed', 'critical', 'review', 'badlapur']",please give detailed critical review badlapur
C33.495,I support it and thanks 377 subprime court...,NAG,NGEN,support 377 subprime court,"['support', '377', 'subprime', 'court']","['support', '377', 'subprime', 'court']",support 377 subprime court
C4.1181.1,Like you,NAG,NGEN,like,['like'],['like'],like
C36.995.3,We need mens in the army not gay,NAG,GEN,mens army gay,"['mens', 'army', 'gay']","['mens', 'army', 'gay']",mens army gay
C59.431,You are right bro,NAG,NGEN,you,['you'],['you'],you
C59.736,U r r8 dada,NAG,NGEN,dada,['dada'],['dada'],dada
C63.12.1,Hiii,NAG,NGEN,hiii,['hiii'],['hiii'],hiii
C7.2097.4,"@Dushant Sain how come it's right to see things with someone's else's
perspective and when u open your own eyes and see things your way, the people
have a problem with it ?",NAG,NGEN,dushant sain things someone's else's perspective open eyes things problem,"['dushant', 'sain', 'things', ""someone's"", ""else's"", 'perspective', 'open', 'eyes', 'things', 'problem']","['dushant', 'sain', 'things', ""someone's"", ""else's"", 'perspective', 'open', 'eyes', 'things', 'problem']",dushant sain things someone's else's perspective open eyes things problem
C7.604,"200% U r right bro....,👍👍",NAG,NGEN,200%,['200%'],['200%'],200%
C43.139,"Sb pagal sexual tharki log hain gay, lesbians.
Dats pure lust not love..i wonder if mother nd father needs any law to show
their love?
My brother, my father loves me widout any law imposed by sme gay cji deepak
mishra.
U dont need to be gay or lesbian to love sme1..u only trying to satisfy ur
fuckin sexual realtion by hiding behind sme LGBT laws.",CAG,GEN,pagal sexual tharki gay lesbians dats pure lust lovei wonder mother father law show love brother father loves widout law imposed sme gay cji deepak mishra gay lesbian love sme1u satisfy fuckin sexual realtion hiding sme lgbt laws,"['pagal', 'sexual', 'tharki', 'gay', 'lesbians', 'dats', 'pure', 'lust', 'lovei', 'wonder', 'mother', 'father', 'law', 'show', 'love', 'brother', 'father', 'loves', 'widout', 'law', 'imposed', 'sme', 'gay', 'cji', 'deepak', 'mishra', 'gay', 'lesbian', 'love', 'sme1u', 'satisfy', 'fuckin', 'sexual', 'realtion', 'hiding', 'sme', 'lgbt', 'laws']","['pagal', 'sexual', 'tharki', 'gay', 'lesbians', 'dats', 'pure', 'lust', 'lovei', 'wonder', 'mother', 'father', 'law', 'show', 'love', 'brother', 'father', 'loves', 'widout', 'law', 'imposed', 'sme', 'gay', 'cji', 'deepak', 'mishra', 'gay', 'lesbian', 'love', 'sme1u', 'satisfy', 'fuckin', 'sexual', 'realtion', 'hiding', 'sme', 'lgbt', 'laws']",pagal sexual tharki gay lesbians dats pure lust lovei wonder mother father law show love brother father loves widout law imposed sme gay cji deepak mishra gay lesbian love sme1u satisfy fuckin sexual realtion hiding sme lgbt laws
C32.155.3,HELLO,NAG,NGEN,hello,['hello'],['hello'],hello
C33.434,Wtf 😀😀😀😀😀😀😀,OAG,GEN,wtf,['wtf'],['wtf'],wtf
C59.849,"Not funny at all bro you should stop uploading videos.. I hate your fooking
face .. Dicck face",OAG,NGEN,not funny stop uploading videos hate fooking face dicck face,"['not', 'funny', 'stop', 'uploading', 'videos', 'hate', 'fooking', 'face', 'dicck', 'face']","['not', 'funny', 'stop', 'uploading', 'videos', 'hate', 'fooking', 'face', 'dicck', 'face']",not funny stop uploading videos hate fooking face dicck face
C7.2572.4,"@Achyuth Thouta iam also support south india in sabrimala case and iam not
with supreme court decision....  
Bt if I respect any culture then they must respect my culture and feeling
too.....  
You know I lv south indian music and film more than bollywood because they
represent real culture",NAG,NGEN,achyuth thouta iam support south india sabrimala case iam supreme court decision respect culture respect culture feeling you south indian music film bollywood represent real culture,"['achyuth', 'thouta', 'iam', 'support', 'south', 'india', 'sabrimala', 'case', 'iam', 'supreme', 'court', 'decision', 'respect', 'culture', 'respect', 'culture', 'feeling', 'you', 'south', 'indian', 'music', 'film', 'bollywood', 'represent', 'real', 'culture']","['achyuth', 'thouta', 'iam', 'support', 'south', 'india', 'sabrimala', 'case', 'iam', 'supreme', 'court', 'decision', 'respect', 'culture', 'respect', 'culture', 'feeling', 'you', 'south', 'indian', 'music', 'film', 'bollywood', 'represent', 'real', 'culture']",achyuth thouta iam support south india sabrimala case iam supreme court decision respect culture respect culture feeling you south indian music film bollywood represent real culture
C65.386.3,"Yess,,,I agree with uuu",NAG,NGEN,yessi agree uuu,"['yessi', 'agree', 'uuu']","['yessi', 'agree', 'uuu']",yessi agree uuu
C10.384.3,She must have a Pakistani father.,NAG,NGEN,she pakistani father,"['she', 'pakistani', 'father']","['she', 'pakistani', 'father']",she pakistani father
C4.96,The way you say chutiya bc🤣🤣💯,OAG,GEN,the chutiya,"['the', 'chutiya']","['the', 'chutiya']",the chutiya
C33.547.1,@AB LOT KE AJA BEWAFA yes sure,NAG,NGEN,lot aja bewafa,"['lot', 'aja', 'bewafa']","['lot', 'aja', 'bewafa']",lot aja bewafa
C4.529.4,"What nonsense.
The illiterate people have ethics. The ones who are brainwashed with all the
shit going arround in the world, might be the ones who are physopaths.
But none, with some sense, like violence agains any kind. So stop assuming
bulshit.",CAG,NGEN,what nonsense the illiterate ethics the brainwashed shit arround world physopaths but sense violence agains kind stop assuming bulshit,"['what', 'nonsense', 'the', 'illiterate', 'ethics', 'the', 'brainwashed', 'shit', 'arround', 'world', 'physopaths', 'but', 'sense', 'violence', 'agains', 'kind', 'stop', 'assuming', 'bulshit']","['what', 'nonsense', 'the', 'illiterate', 'ethics', 'the', 'brainwashed', 'shit', 'arround', 'world', 'physopaths', 'but', 'sense', 'violence', 'agains', 'kind', 'stop', 'assuming', 'bulshit']",what nonsense the illiterate ethics the brainwashed shit arround world physopaths but sense violence agains kind stop assuming bulshit
C59.1360,"Right bro''
You are absolutely right",NAG,NGEN,right bro'' you absolutely,"['right', ""bro''"", 'you', 'absolutely']","['right', ""bro''"", 'you', 'absolutely']",right bro'' you absolutely
C4.1740,JOKER Review Please..,NAG,NGEN,joker review please,"['joker', 'review', 'please']","['joker', 'review', 'please']",joker review please
C58.318,That's right,NAG,NGEN,that's,"[""that's""]","[""that's""]",that's
C7.1048,"Hello Pratik,  
You have said in multiple videos about the importance of having an opinion and
the right to express that. Now an opinion depends on different thoughts,
situations,beliefs,background,relationships,experiences etc on a very personal
level. Difference on every aspect of life is the beautiful essence of the very
existence of human being. I, personally agree with many of your thoughts but
at the same time dont agree with some opinions. My question is why is it so
important to put a tag or lebelize the ones who have different thoughts or
dont agree with yours point of view? Why does everybody (who dont share the
opinions as yours) have to be a 'feminazi', 'liberal' etc? Dont you think we
should be respectful and polite to viewers ( more so because we are all
educated and well read people) in a public domain? Aggression is good when
applied cleverly and certainly not in unidimensional rage.  
Where is the Pratik who used to review The Apu Trilogy with love, care and
utmost sincere humility?",CAG,NGEN,hello pratik you multiple videos importance opinion express now opinion depends different thoughts situationsbeliefsbackgroundrelationshipsexperiences personal level difference aspect life beautiful essence existence human personally agree thoughts time agree opinions question important put tag lebelize different thoughts agree point view why share opinions 'feminazi' 'liberal' dont respectful polite viewers educated read public domain aggression applied cleverly unidimensional rage where pratik review the apu trilogy love care utmost sincere humility,"['hello', 'pratik', 'you', 'multiple', 'videos', 'importance', 'opinion', 'express', 'now', 'opinion', 'depends', 'different', 'thoughts', 'situationsbeliefsbackgroundrelationshipsexperiences', 'personal', 'level', 'difference', 'aspect', 'life', 'beautiful', 'essence', 'existence', 'human', 'personally', 'agree', 'thoughts', 'time', 'agree', 'opinions', 'question', 'important', 'put', 'tag', 'lebelize', 'different', 'thoughts', 'agree', 'point', 'view', 'why', 'share', 'opinions', ""'feminazi'"", ""'liberal'"", 'dont', 'respectful', 'polite', 'viewers', 'educated', 'read', 'public', 'domain', 'aggression', 'applied', 'cleverly', 'unidimensional', 'rage', 'where', 'pratik', 'review', 'the', 'apu', 'trilogy', 'love', 'care', 'utmost', 'sincere', 'humility']","['hello', 'pratik', 'you', 'multiple', 'videos', 'importance', 'opinion', 'express', 'now', 'opinion', 'depends', 'different', 'thoughts', 'situationsbeliefsbackgroundrelationshipsexperiences', 'personal', 'level', 'difference', 'aspect', 'life', 'beautiful', 'essence', 'existence', 'human', 'personally', 'agree', 'thoughts', 'time', 'agree', 'opinions', 'question', 'important', 'put', 'tag', 'lebelize', 'different', 'thoughts', 'agree', 'point', 'view', 'why', 'share', 'opinions', ""'feminazi'"", ""'liberal'"", 'dont', 'respectful', 'polite', 'viewers', 'educated', 'read', 'public', 'domain', 'aggression', 'applied', 'cleverly', 'unidimensional', 'rage', 'where', 'pratik', 'review', 'the', 'apu', 'trilogy', 'love', 'care', 'utmost', 'sincere', 'humility']",hello pratik you multiple videos importance opinion express now opinion depends different thoughts situationsbeliefsbackgroundrelationshipsexperiences personal level difference aspect life beautiful essence existence human personally agree thoughts time agree opinions question important put tag lebelize different thoughts agree point view why share opinions 'feminazi' 'liberal' dont respectful polite viewers educated read public domain aggression applied cleverly unidimensional rage where pratik review the apu trilogy love care utmost sincere humility
C7.263,"This film is only about couple who passionate about love don't know what has
happened to society.",NAG,NGEN,this film couple passionate love happened society,"['this', 'film', 'couple', 'passionate', 'love', 'happened', 'society']","['this', 'film', 'couple', 'passionate', 'love', 'happened', 'society']",this film couple passionate love happened society
C7.312,Love Is Pure bro. Kabir beautifully tells us that,NAG,NGEN,love pure kabir beautifully tells,"['love', 'pure', 'kabir', 'beautifully', 'tells']","['love', 'pure', 'kabir', 'beautifully', 'tells']",love pure kabir beautifully tells
C7.974,Wow u explained it very clearly.,NAG,NGEN,wow explained,"['wow', 'explained']","['wow', 'explained']",wow explained
C33.661,I found myself to be a gay,NAG,NGEN,found gay,"['found', 'gay']","['found', 'gay']",found gay
C33.353,I'm a lesbian too. Nice video :),NAG,NGEN,i'm lesbian nice video,"[""i'm"", 'lesbian', 'nice', 'video']","[""i'm"", 'lesbian', 'nice', 'video']",i'm lesbian nice video
C7.721,"Oh man day by day you are becoming more popular among fake feminist and
liberals, 1.5k dislikes is the proof. Take care Bhai.",NAG,NGEN,man day day popular fake feminist liberals 15k dislikes proof take care bhai,"['man', 'day', 'day', 'popular', 'fake', 'feminist', 'liberals', '15k', 'dislikes', 'proof', 'take', 'care', 'bhai']","['man', 'day', 'day', 'popular', 'fake', 'feminist', 'liberals', '15k', 'dislikes', 'proof', 'take', 'care', 'bhai']",man day day popular fake feminist liberals 15k dislikes proof take care bhai
C10.222,How long are we going to tolerate this pest.,NAG,NGEN,how long tolerate pest,"['how', 'long', 'tolerate', 'pest']","['how', 'long', 'tolerate', 'pest']",how long tolerate pest
C7.1561,Feminist and liberals means?,NAG,NGEN,feminist liberals means,"['feminist', 'liberals', 'means']","['feminist', 'liberals', 'means']",feminist liberals means
C33.659.2,"KK no problem because the population is aldready 130 crore. If this country
can reduce it further by LGBT a little bit without trouble what is the
problem?😂😂",CAG,NGEN,problem population aldready 130 crore country reduce lgbt bit trouble problem,"['problem', 'population', 'aldready', '130', 'crore', 'country', 'reduce', 'lgbt', 'bit', 'trouble', 'problem']","['problem', 'population', 'aldready', '130', 'crore', 'country', 'reduce', 'lgbt', 'bit', 'trouble', 'problem']",problem population aldready 130 crore country reduce lgbt bit trouble problem
C10.553,Then her name is not original,NAG,NGEN,then original,"['then', 'original']","['then', 'original']",then original
C4.2030.5,"@Aditya Mishra Bhai unke kitne bhi lovers ho jaye India me they will finally
say :India is an intolerant country 😃",NAG,NGEN,aditya mishra bhai lovers jaye india finally india intolerant country,"['aditya', 'mishra', 'bhai', 'lovers', 'jaye', 'india', 'finally', 'india', 'intolerant', 'country']","['aditya', 'mishra', 'bhai', 'lovers', 'jaye', 'india', 'finally', 'india', 'intolerant', 'country']",aditya mishra bhai lovers jaye india finally india intolerant country
C32.21,I wish my boyfriend could take this step and keep me in first priority,NAG,NGEN,wish boyfriend step priority,"['wish', 'boyfriend', 'step', 'priority']","['wish', 'boyfriend', 'step', 'priority']",wish boyfriend step priority
C4.1308,"I was so much expecting this video and was waiting gor this from a really long
time.",NAG,NGEN,expecting video waiting gor long time,"['expecting', 'video', 'waiting', 'gor', 'long', 'time']","['expecting', 'video', 'waiting', 'gor', 'long', 'time']",expecting video waiting gor long time
C33.417,Any lesbian here for me.... Yea am a man...i think lesbian means vergin girls💑,NAG,NGEN,any lesbian yea lesbian means vergin girls,"['any', 'lesbian', 'yea', 'lesbian', 'means', 'vergin', 'girls']","['any', 'lesbian', 'yea', 'lesbian', 'means', 'vergin', 'girls']",any lesbian yea lesbian means vergin girls
C4.2034.1,"Plz bro. Dont blame bollywood for it. The main culprit is that director
Sandeep Vanga who also made Arjun Reddy and remade it in Hindi... He totally
destroyed the lives of youth.😡😡😡😡😡😡",NAG,NGEN,plz dont blame bollywood the culprit director sandeep vanga made arjun reddy remade hindi totally destroyed lives youth,"['plz', 'dont', 'blame', 'bollywood', 'the', 'culprit', 'director', 'sandeep', 'vanga', 'made', 'arjun', 'reddy', 'remade', 'hindi', 'totally', 'destroyed', 'lives', 'youth']","['plz', 'dont', 'blame', 'bollywood', 'the', 'culprit', 'director', 'sandeep', 'vanga', 'made', 'arjun', 'reddy', 'remade', 'hindi', 'totally', 'destroyed', 'lives', 'youth']",plz dont blame bollywood the culprit director sandeep vanga made arjun reddy remade hindi totally destroyed lives youth
C4.565,I badly agree with you,CAG,NGEN,badly agree,"['badly', 'agree']","['badly', 'agree']",badly agree
C10.384.2,"She never had a good parents. The got divorced when she was under 5 years of
age. This will tell what sort of lady was she the foxy face. She is third
rate, stupid educated illiterate lady.",OAG,GEN,she parents the divorced years age this sort lady foxy face she rate stupid educated illiterate lady,"['she', 'parents', 'the', 'divorced', 'years', 'age', 'this', 'sort', 'lady', 'foxy', 'face', 'she', 'rate', 'stupid', 'educated', 'illiterate', 'lady']","['she', 'parents', 'the', 'divorced', 'years', 'age', 'this', 'sort', 'lady', 'foxy', 'face', 'she', 'rate', 'stupid', 'educated', 'illiterate', 'lady']",she parents the divorced years age this sort lady foxy face she rate stupid educated illiterate lady
C4.1123,Bro make a video on tik tok,NAG,NGEN,bro make video tik tok,"['bro', 'make', 'video', 'tik', 'tok']","['bro', 'make', 'video', 'tik', 'tok']",bro make video tik tok
